"<Save Event Locations>",""
"可憐は貴方に気が付くと、
極まりが悪そうな顔で俯きながら貴方にそう声をかけてくる。",""
"<可憐>
『そっか…よかった……
　その、この前は本当にごめん！』",""
"<アル>
『この前のPvPで\n[1]からレベルドレインしちゃったこと、
　かなり気にしてるみたいだね…………』",""
"貴方の前で頭を下げて謝罪する可憐に、
貴方は自分は気にしていない、と告げた。",""
"<可憐>
『でも、恩を仇で返しちゃったし……
　本当に、ごめんね？
　私に出来ることがあったら、何でも言ってね？』",""
"可憐はおずおずと貴方を見つめ、
贖罪の気持ちでそう言葉を口にする。",""
"本当に大丈夫",""
"犯されるの、気持ちよかった",""
"<可憐>
『…ありがとう、\n[1]君は優しいね。
　あんまり謝罪を押し付けるのもよくない、かな。
　うん、\n[1]君がそう言ってくれるなら。』",""
"可憐はにこりと貴方に笑みを見せた。",""
"<可憐>
『あはは……ありがとう、気を使ってくれてるんだよね？
　うん、あんまり謝罪を押し付けるのも悪いかな。』",""
"<可憐>
『\n[1]君がそう言ってくれるなら、
　私ももう謝るのはやめるね、ありがとう♪』",""
"<可憐>
『っと、そうだ。　
　ねぇ、\n[1]君、あれ、見える？』",""
"<可憐>
『やっぱり？
　ふふ、何が入ってるのか楽しみ♪』",""
"<可憐>
『ね、中身は\n[1]君のものってことでいいからさ。
　一緒に開けてみようよ♡』",""
"<可憐>
『え？いいのって……うん、もちろん♡
　その、これがちょっとでも贖罪になるなら、なんて。』",""
"そうおずおずと貴方を見上げる可憐に、
貴方はありがとうと感謝の言葉を返した。",""
"<可憐>
『あれ？そうなの？邪推だったら悪いんだけど……
　独り占めしたいから嘘ついてる、なんてことはないよね？』",""
"<可憐>
『ふふ♡欲しいなら欲しいって言ってくれれば良いのに♡
　この前のお詫びとして、
　中身は\n[1]君のものにしていいよ♪』",""
"そう悪戯っぽく笑う可憐に、
貴方はあっけにとられ、本当にいいのかと確認する。",""
"<可憐>
『うん♪\n[1]君に対して悪いことしたとは、
　本当に思ってるんだもん。』",""
"<可憐>
『それが少しでも贖罪になるなら、
　私は宝箱だって喜んで差し出すよ♡』",""
"そう冗談を言う声色で言葉を告げる可憐に、
貴方はありがとうと感謝を告げる。",""
"<可憐>
『どういたしまして、って言うのは変だよね？
　んっ、ほら、一緒に開けてみよ♪』",""
"<アル>
『じゃあ\n[1]♪
　開けてみよー！何が入ってるかな♪』",""
"楽しそうにそう言うアルに貴方は頷き、
宝箱を開けた。",""
"<可憐>
『えーと、説明見ると…エリクサー？
　ふむふむ、
　1回の戦闘で1度だけ使える完全回復のアイテム…………』",""
"<可憐>
『ん♪結構有用そうな回復アイテムかも？
　ゲームって言ったら、エリクサーは定番だよね♪』",""
"くすくすと笑いながらそう言う可憐に、
貴方はもう一度本当にいいのかと確認する。",""
"<可憐>
『うん、今更言葉を変えたりしないよ♪
　そのエリクサーは\n[1]君の冒険に役立ててほしいかな。』",""
"<可憐>
『ふふ♡律儀だね、お礼は良いってば♪
　こっちも、レアなアイテム見れてよかったし。』",""
"<可憐>
『じゃ、私は先に進むね？
　\n[1]君も、ゲームオーバーにならないよう頑張って♡』",""
"可憐は貴方にそういうと、軽く駆け出していった。",""
"<アル>
『ちょっと悪い気もするけど……
　ありがたいよね！ふふー、レアアイテム♪』",""
"<可憐>
『あ、やっぱり\n[1]君も？
　実は、私は初めてみるんだー♪』",""
"<可憐>
『なんかこう、
　いかにもレアなものが入ってるって感じするよね♪
　中に何が入ってるのか気にならない？』",""
"<可憐>
『あ、\n[1]君。
　久しぶりだね、元気してた？』",""
"可憐は貴方に気が付くと、そう声をかけてくる。",""
"<可憐>
『そっかそっか、それは何よりだね♪
　私のほうも、元気だし、それに強くなったよ。
　もう、コロシアムで3勝して先に進めるぐらいに♡』",""
"<可憐>
『やっぱり、\n[1]君も？
　まぁ、そうでなくちゃね♪』",""
"<可憐>
『っとここで、リベンジ申し込みたいんだけど……
　その前に、ほら、あれ。』",""
"<可憐>
『PvPで勝ったほうのもの、ということにしない？
　私のリベンジも達成できるし、私にとっては一石二鳥♡』",""
"<アル>
『えっと、どうする？\n[1]。』",""
"<可憐>
『そう来なくっちゃ♪
　じゃ、始めよっか♡
　犯された屈辱は、倍にして返してあげる♡』",""
"<可憐>
『ぐ…やっぱり強いね、\n[1]君、
　私の完敗だよ…………悔しい、なぁ…………』",""
"<可憐>
『え…………？どうしたの？
　今回は、レベルドレイン、しないの？』",""
"<可憐>
『そっか、ありがとう♪
　やっぱり、自分が負けた相手に犯されちゃうのは、
　どうしても悔しいんだよね…………』",""
"可憐は苦笑しながら貴方にそう感謝の言葉を述べた。",""
"<アル>
『\n[1]ーー！
　そうだよね、無理やり犯すなんてよくないよね！』",""
"<アル>
『この前\n[1]がこの子を犯しちゃったとき、
　私、なんて反応したらいいか分かんなかったよぉ……』",""
"アルは貴方に抱き着き、
甘えるような声を出してそう言葉を漏らす。",""
"貴方はそんなアルに苦笑しつつ、
その小さな頭を指で撫でてあげた。",""
"<アル>
『えへへー♪ん…………♪』",""
"気持ちよさそうなアルを指で撫で続けながら、
貴方は可憐に宝箱はもらっていいかと尋ねた。",""
"<可憐>
『ん、また、うぅぅ…………』",""
"<可憐>
『え？戦う前に諦めちゃうの？
　そんなに私に負けて犯されるのが怖いんだ、意気地なし♡』",""
"<可憐>
『まぁ、無理強いはしないよ♪
　ちょっとがっかりだけど♡』",""
"<可憐>
『あ、やっぱり\n[1]君も？
　実は、私も初めてみるんだよね♪』",""
"<可憐>
『なんかこう、
　いかにもレアなものが入ってるって感じしないかな？
　何が入ってるのか楽しみだよね♪』",""
"<可憐>
『お、やっぱり\n[1]君も？
　やるねぇ、ちゃんと勝てたんだ♪』",""
"貴方は少し記憶を探り、
聖剣ミストが入っていた宝箱が青色だったことを思い返す。
そして、可憐に見たことはあると返した。",""
"<アル>
『ふふーん♪
　\n[1]、返り討ちにしちゃえ！
　それで、レアアイテムゲットだよ！』",""
"アルはお宝に目がくらんでいるように、
宝箱の方を見ながらそう貴方に発破をかけた。",""
"<可憐>
『そう来なくっちゃ♪
　じゃ、始めよっか♡今度は私が勝って、
　\n[1]君に悔しい思いしてもらうからね♡』",""
"<可憐>
『ぐ…やっぱり強いね、\n[1]君、
　私の完敗だよ…………』",""
"<可憐>
『ふふ、ありがとう……
　今回も\n[1]君の厚意に、甘えちゃうね……♪』",""
"可憐は倒れこんだまま貴方を見上げ、
動かない身体で力なく笑いながらそう感謝の言葉を告げる。",""
"<可憐>
『今回はさすがに犯されるんじゃないか、
　とも思ってたけど……やっぱり\n[1]君は優しいね♡』",""
"可憐はほっとしたような表情を浮かべ、
貴方にそう言葉を告げた。",""
"<アル>
『えへへ♪私もそう思う！
　一緒にいるのが\n[1]でよかったなーって思うもん♪』",""
"そんな可憐に、貴方は宝箱はもらっていいかと尋ねた。",""
"<可憐>
『う、今回は犯されちゃうんだね………
　\n[1]君ならもしかしてってちょっと期待してたけど…』",""
"<アル>
『で、でもこの前は\n[1]が勝ってたよね？
　その、この子そんなにつよくなってそうなの……？』",""
"そう尋ねるアルに、貴方は頷いた。",""
"<アル>
『そっか……この子は強い……
　分かった！きっと、そっちのほうがいい選択だよね！』",""
"<可憐>
『え？戦う前に諦めちゃうの？
　んー、なんか不完全燃焼だけど………』",""
"<可憐>
『でも、無理強いはよくないよね♪
　分かった、\n[1]君の降伏を受け入れてあげよう♡』",""
"可憐は冗談っぽくそう言いながらくすくすと笑みを浮かべた。",""
"<可憐>
『あ、やっぱり\n[1]君も？
　実は、私も初めてみるんだー♪』",""
"<可憐>
『なんかこう、
　いかにもレアなものが入ってるって感じがしないかな？
　中に何が入ってるのか楽しみだよね♪』",""
"<アル>
『せっかく勝負に勝ったんだから、
　戻る前に宝箱開けていこうよ！』",""
"まだ宝箱を開けていない。",""
"EV008",""
"<可憐>
『ん…………私は大丈夫だよ？
　ほら、早く宝箱の中身を確認してきなよ♪』",""
"<アル>
『うんうん、\n[1]！早く開けに行こうよ♪』",""
"<可憐>
『ねぇ、\n[1]君。
　中には何が入ってたの？』",""
"そう尋ねる可憐に貴方はエリクサーの説明をした。",""
"<可憐>
『そっか、エリクサーかぁ。
　ゲームでは定番だよね？
　しかも使ってもなくならないなんて……』",""
"可憐は羨ましそうに、少し物欲しそうに貴方を見つめる。
そんな可憐の視線に貴方は戸惑い、顔を背けてしまう。",""
"<可憐>
『っと、ごめんごめん♪
　それは\n[1]君のものだもん♡
　欲しがっちゃダメだよね。』",""
"<可憐>
『私も負けないくらいレアなアイテム、
　いつか見つけて見せるから！』",""
"可憐は自分に気合を入れるようにそう意気込んだ。",""
"<アル>
『レアアイテムってやっぱり、嬉しいよね♪
　私たちも満足せず、探してみよ！』",""
"<可憐>
『うぅ…………あぅ…………』",""
"可憐はうずくまっている…………",""
"EV009",""
"エリクサーを手に入れた！","Obtained Elixir!"
"エリクサー、名前からして回復アイテムだろうか。
貴方はアイテムの説明に目を通した。",""
"『最上級回復アイテム。
　HP、MPを全回復する。
　使用してもなくならないが、
　1回の戦闘に1度しか使えない。』",""
"<アル>
『おー、使ってもなくならない上に、
　全回復できるんだ！すごくいいアイテムだね♪』",""
"アルもその説明に目を通して、目を輝かせてそう反応する。
確かに、使いどころを間違えなければ心強いアイテムだろう。",""
"説明を読む限り、
使いどころを間違えなければ心強いアイテムだ、
貴方はそう感じるだろう。",""
"EV010",""
"EV011",""
"EV012",""
"聖剣グラスファを手に入れた！","Obtained Holy Sword Grasfa!"
"<アル>
『見たことない色の宝箱だったけど………
　これが私が感じたやつなのかな？
　なんか、すごそうな剣だねー♪』","<Al>
""We haven't seen a blue treasure chest before...
 Maybe it was that sword that I sensed? It looks
 really strong♪"""
"貴方が宝箱から手に入れた剣をアルはまじまじと見つめる。
効果は、装備することで全能力+20％………
すごそう、ではなく本当にすごい剣のようだ。","Al closely looked at the sword you picked up from the
chest. You looked over it and found that it has 「All
Stats +20%」. It didn't just look strong. It was an
actual strong sword."
"<アル>
『その効果ってそんなに強いの？
　おおー、よかったね。\n[1]♪』","<Al>
""Is that effect so powerful? Well, that's great because
 it's your sword now, \n[1]♪"""
"そう言うアルに、
君のおかげだと貴方はアルに告げた。","After Al said that, you told her it was thanks to her
that you found it."
"<アル>
『えへへ♪どういたしまして！
　青い宝箱にはいいものが入ってるのかな？
　また見かけたら、開けたいねー♪』","<Al>
""Ehehe♪ You're welcome! I wonder if all blue chests
 have amazing items? Let's keep an eye out for them♪"""
"<アル>
『これが私が感じたやつなのかな？
　なんか、すごそうな剣だねー♪』","<Al>
""Is that sword what I sensed? It looks really strong♪"""
"<アル>
『えへへ♪どういたしまして！
　やっぱり青い宝箱にはいいものが入ってるんだね！
　また見かけたら、開けたいねー♪』","<Al>
""Ehehe♪ You're welcome! Looks like blue chests have
 amazing items inside them! Let's keep an eye out for
 them♪"""
"EV013",""
"『ここから先は敵が急激に強くなる危険地域。
　コロシアムで2勝した人しか通っちゃいけないの。』","""This road leads to a danger area where monsters get
 suddenly really strong. Only players who have won two
 matches at the Colosseum can pass."""
"『無用な犠牲を出さないため……
　これはバンガードの意思だからね。
　分かってくれない？』","""This is a rule that Vanguard have set to prevent
 unnecessary victims. Please understand."""
"<アル>
『うぅーん…この先の敵、そんなに強いのかな？
　この人の言う通り、また後でこよっか。』","<Al>
""Hmm... Is it really such a dangerous area? Looks like
 our only option is to do as she says and come back at
 a later point."""
"『ん……確かに勝利の証を確認したよ。　
　繰り返しになるが、この先の敵は強いから。
　油断しないようにね？』","""Mmh... Yes, I've confirmed your medals. Before you 
 enter, I'll remind you one last time: The monsters in 
 the next area are really strong, so don't let your 
 guard down."""
"<アル>
『よーし、レベル上げ頑張ろ♪
　さっきの人も言ってたように、油断しないようにね！』","<Al>
""Okay! Let's go level up♪ And we should be careful like
 that person said!"""
"小悪魔B","Imp B"
"EV020",""
"メガミックスポーションを手に入れた！","Obtained Mega Mixed Potion!"
"EV023",""
"『知ってるか？
　レアな宝箱って言うのがあるらしいぜ。
　なんでも、中にはとんでもないアイテムが入ってるとか。』","""Did you know that there are rare treasure chests?
 Apparently, you can find super strong items inside
 them."""
"『こう、ゲーマー魂がくすぐられるよな！
　中のアイテムを街でオークションにかければ、
　大金が手に入ったりするらしいし……！』","""That kind of stuff tickles my inner gamer! I bet that
 you could become filthy rich if you auctioned one of
 those items in the town!"""
"<アル>
『レアなアイテム♪
　私だったら売ったりなんかしないで、
　自分で使いたいなー！』","<Al>
""Rare items♪ If I were to find one, I would use it
 myself instead of selling it off!"""
"EV024",""
"メガマジックウォーターを手に入れた！","Obtained Mega Magic Water!"
"EV025",""
"森の奥まで進みますか？","Teleport deeper into the forest?"
"はい","Yes"
"いいえ","No"
"EV026",""
"街まで戻りますか？","Teleport to town?"
"EV027",""
"EV028",""
"<アル>
『んー……？
　なんだろう、不思議な感じがする…………』","<Al>
""Hmm? Wait... I'm sensing something..."""
"ダンジョンを進んでいると、唐突にアルがそう首を傾げた。","While you were walking through the dungeon, Al suddenly
tilted her head."
"<アル>
『なんかねー？うーんと、
　多分下の通路の行き止まりの先……、かな？
　そこから不思議な力を感じるの！』","<Al>
""Hmm... It's probably coming from that dead-end?
 I can feel something weird over there!"""
"<アル>
『ちょっと気になるし、
　行ってみよーよ！』","<Al>
""It's making me curious! Let's check it out!"""
"抽象的なアルの発言に首を傾げながらも、
確かに少し気になる……。
下の通路の行き止まりの先、行ってみよう。","Al's cryptic statement left you puzzled, but also
curious. There might be something at the end of
dead-end to the south."
"<アル>
『どこいくのー？
　私が感じた場所はそっちじゃないよ！』","<Al>
""Where are you going? The place I sensed is the other
 way!"""
"EV029",""
"回想部屋に移動しますか？
【回想部屋でのレベルの上下は、
　ダンジョンに戻るときにリセットされます】",""
"EV030",""
"EV031",""
"EV032",""
"EV033",""
"『ここのモンスター、見るからに植物って感じだから、
　炎の魔法を使ってみたんだけど……
　ダメージ全然増えてないっぽいのよね。
　……なんか、詐欺じゃない？』","""The monsters in this forest look like plants, so I
 tried using fire magic against them, but it didn't
 deal any extra damage. Isn't that cheating?"""
"<アル>
『確かに！植物だったら炎に弱そうだもんね♪
　でも、そういうわけじゃないんだ。
　んー、なんでなんだろうね？』","<Al>
""That's right! Plants should be weak to fire♪ But that
 doesn't seem to apply here. I wonder why?"""
"EV042",""
"【こちらは旧支援者様版からセーブデータを引き継ぎ、
　可憐さんが邪魔で先に進めなくなった方用イベントです。
　可憐さんに去ってもらいますか？】",""
