"EV001","",""
"<盗賊サキュバス>
『まぁでも、もし冒険者さまが、
　ボクにずーっと負け続けたいを思うなら…………
　ここで永遠の快楽を味わわせてあげる♡』","",""
"<盗賊サキュバス>
『力を付けてボクにリベンジするか、
　弱いままボクに負け続けるか、
　冒険者さまが自分で選んでね♡』","",""
"<盗賊サキュバス>
『ん？またボクと戦いたいの？
　いいよ♡冒険者さまのこと、気持ちよくしてあげる♡』","",""
"<盗賊サキュバス>
『いたた……ボクの負けかぁ…
　じゃあ製品版の宣伝を…………』","",""
"<盗賊サキュバス>
『え？それはもういい？
　そ、そっか。まぁ、何回も聞いたら飽きちゃうよね』","",""
"<盗賊サキュバス>
『それじゃ、ボクはずっとここにいるから、
　また戦いたくなったら話しかけてよ♪』","",""
"<盗賊サキュバス>
『あれあれ～？冒険者さま、負けちゃったね♡
　ボクより強いはずなのに、油断しちゃった？
　それとも…………』","",""
"<盗賊サキュバス>
『ボクに気持ちよくしてほしくて、
　わざと負けちゃったのかな？♡』","",""
"<盗賊サキュバス>
『ふふ♡隠さなくていいよ♪
　それなら、何度でも負かして気持ちよくしてあげるから、
　いつでもボクに話しかけてね♡』","",""
"<盗賊サキュバス>
『なんどでも精液搾り取ってあげる♡
　でも、そうしてボクに負け続けて、
　ボクを見るだけで勃起しちゃう様になってぇ…』","",""
"<盗賊サキュバス>
『製品版のボクに勝てなくなっちゃっても、
　知らないからね♡マゾ冒険者さま♡』","",""
"EV002","",""
"1層に戻りますか？","",""
"<盗賊サキュバス>
『それじゃあ装備品は返してもらうね♪
　こっちに来るときには、ちゃんと返してあげるから♡』","",""
"貴方は盗賊サキュバスに装備品を盗まれてしまった。","",""
"EV005","",""
