"メイド01",""
"<メイドサキュバスA>
『いいえ、違います。
　あの街はご主人様の優しさです。
　なぜなら…………』",""
"<メイドサキュバスA>
『ご主人様は先へ進もうとするプレイヤーを、
　その気になれば全て迎え撃ち、
　皆殺しにすることも可能だからです。』",""
"<アル>
『み、みなごろし………
　で、でも、プレイヤーの中にはすっごい強い人もいるよ？
　ご主人様ってそんなに強いのかな…………』",""
"物騒な言葉にアルと貴方は息をのむ。
そして、ご主人様はそれほど強いのか、
とそう尋ねた。",""
"<メイドサキュバスA>
『そう、ですね。
　間違いなく高い実力を備えてはいるのですが……
　問題はそこではありません。』",""
"<メイドサキュバスA>
『構造として、
　どれだけレベルが高くともプレイヤーは、
　絶対にご主人様には勝てない様になっているのです。』",""
"構造として……？
彼女の言葉の意味がよく分からなかった。",""
"<メイドサキュバスA>
『……詳しいことはお話できません。
　ですが、プレイヤーである以上、
　”絶対に”ご主人様には勝てない様になっているのです。』",""
"<メイドサキュバスA>
『ですから貴方も、
　死にたくなければ家畜になってください。
　それが唯一生き残る道ですよ。』","<Maid Succubus A>
""That's why you should also become a cattle slave if
 you don't wish to die. That is your only way to
 survive."""
"<メイドサキュバスA>
『ご安心ください。
　家畜と言っても毎晩私たちに精を搾られるだけ……
　皆さんもとても喜んでくださっていますよ？』","<Maid Succubus A>
""Please do not worry. Even while we call them cattle
 slaves, we milk your semen every night. Everyone 
 has come to love it."""
"メイドサキュバスはにこりと笑って貴方にそう進言する。
色気を多分に含んだ彼女の口から、
語られる家畜の実態……それに思わず喉がなってしまう。","The maid succubus advised you to become a cattle slave
with a smile. You couldn't help unconsciously gulping
when she seductively described the life of a cattle
slave."
"<アル>
『ダ、ダメだよ！
　\n[1]、勝てないなんて、
　やってみなきゃわからないもんね！』","<Al>
""N-No, \n[1]! She may have said that we
 won't have a chance against the master of the
 mansion, but we don't know until we try!"""
"そんな貴方を叱咤するようなアルの言葉に、
貴方は頷く。確かに死か家畜か、で言えば、
後者の方がましかもしれないが……",""
"<メイドサキュバスA>
『…お分かりになっていただけませんか。
　分かりました、では、
　貴方が他の誰かの家畜になることを願っています。』",""
"<メイドサキュバスA>
『ささやかですが、見逃してくださったお礼を。
　このコインをお受け取りください。』","<Maid Succubus A>
""It's a meager reward, but please receive this coin
 as thanks for letting me go."""
"そう言ってメイドサキュバスは貴方に、
5枚のコインを手渡す。","The maid succubus handed you 5 coins."
"<メイドサキュバスA>
『これはご主人様が発行したコインで、
　この屋敷内で通貨として使われている、　
　私たちが特定の相手にのみお渡しできるコインです。』","<Maid Succubus A>
""There are coins made by Master, and they're used
 as a currency within the mansion. It's something
 we give to our special someones."""
"<メイドサキュバスA>
『ご主人様が作った強い装備と交換できますし、
　貴方が家畜に堕ちた後でも使えますので、
　大切に保管しておいてください。』",""
"ありがとう",""
"もっと欲しい",""
"<メイドサキュバスA>
『それは、こちらのセリフです。
　正直あのまま斬られるのではないかと肝が冷えました。
　引き時を間違えてしまいましたね…………』",""
"<メイドサキュバスA>
『……強欲な方ですね。
　ですがこれ以上は差し上げられませんよ。
　諦めてください。』",""
"<メイドサキュバスA>
『とにかく、
　相手を見逃すと私のときのように、
　コインを見返りとしてもらえると思います。』",""
"<メイドサキュバスA>
『……ですから、なるべく見逃してあげてください。
　私たちはダンジョンのモンスターではないので、
　倒されても復活はできないのです。』",""
"<アル>
『やっぱり、そうなんだ……
　\n[1]、そんなの言われなくても、だよね♪』",""
"<アル>
『やっぱり、そうなんだ……
　\n[1]、彼女たちを殺したりなんてしないよね…？』",""
"当たり前だ",""
"見返りがもらえるなら……",""
"<アル>
『ん！そうだよね！
　そんなひどいことできないよね！
　\n[1]がそう言う考えの人でよかった♪』",""
"<アル>
『え？見返りがないと………？
　あ、ううん！ごめん！
　何も言わなくていいから……！』",""
"<メイドサキュバスA>
『……それでは、ご武運を。
　家畜としての貴方に会えるのを楽しみにしていますよ。』",""
"EV003",""
"『申し訳ありません。
　今は演奏に集中したいので、
　話しかけないでください。』",""
"『まずは、え～と……
　人差し指で……あれ？ミはどこでしたっけ……』",""
"<アル>
『演奏って言うか…
　ほぼ音途切れちゃってるけど……
　まぁ、頑張ることはいいことだよね？』",""
"EV004",""
"『ピアノの前に座ってる子、
　いつも練習してるんだけど……
　ちっともうまくならないんだよね～』",""
"『まぁでも、
　諦めない一生懸命な姿が可愛くて、
　私はついつい見に来ちゃうんだけどね。』",""
"<アル>
『演奏を聞きに来てるんじゃなくて、
　頑張るあの子を見に来てるんだ……
　ん～、まぁ、これもファンなのかな？』",""
"EV005",""
"『あぁ、この破滅的な音楽……
　ついつい聞きほれて、眠りに落ち、落ち…………』",""
"『……………………ZZZ』",""
"<アル>
『断片的な音しか聞こえないんだけど……
　この人、それでも寝ちゃうなんて、
　よっぽど疲れてるのかな？』",""
"EV006",""
"『ここのベッド、大きいでしょ～？
　休憩で自由に使っていいんだよね～♪
　…………有料だけど。』",""
"『アンタも、使う前は許可をとって使いなよ？
　もし無料で使おうだなんてしたら、
　後でお仕置きされちゃうだろうし。』",""
"<アル>
『ふかふかベッド～♪
　……で、でも有料なんだ……
　なんかこう、釈然としないよね……』",""
"EV007",""
"『お、家畜君じゃん♪
　ここに遊びに来てるってことは、
　もう今日の分のノルマ終わったの？早いね～♪』",""
"『それじゃ、
　2回のカジノでも行って来たらどう？
　ぱーっとギャンブルにお金使うと、
　結構すっきりするしさ～♡』",""
"<アル>
『その気持ちはすっごい分かる！
　でも、あんまり熱中しすぎない様にしないとね♪
　気が付いたら、すっからかんとか怖いし…………』",""
"EV008",""
"『毎回料理当番になったら思うけど……どう考えたって、
　この人数分の料理作るにはキッチン小さすぎるって！
　ご主人様、ここをもう少し広くしてくれないかな……』",""
"<アル>
『私たちの分とこの子たちの分をここで作ってるんだよね？
　確かに、それにしては狭いかも……』",""
"EV009",""
"『ここはある意味戦場です。　
　私たちの業務で一番大変なのは、
　料理当番になった時ですからね……』",""
"『出来れば貴方の手も借りたいくらいなのですが…
　………いえ、これは私たちの役目。
　家畜の貴方に手伝わせるわけにはいきませんね。』",""
"<アル>
『凄い……離したり悩んだりしながら、
　手は止まってないよ…
　これが職人技ってやつだね！』",""
"EV010",""
"『この先は休憩室ですよ。
　お気に入りの家畜と2人で利用する方が多くいます。
　貴方もご主人様に気に入られれば、
　使うことができるかもしれませんね。』",""
"<アル>
『お気に入りの家畜…
　\n[1]、ちょっといいなとか思ったりしてないよね？』",""
"思ってない",""
"ちょっといいなって思った",""
"<アル>
『そうだよね！
　いつまでも家畜でなんていられないもん。
　なるべく早く、抜け出せるように頑張ろうね♪』",""
"<アル>
『\n[1]！？
　だ、ダメだよー！
　早くご主人様の元から抜け出さないと、ね？』",""
"EV011",""
"『今日のご飯はなっにかな～♪
　あ～、仕事の後のご飯だけが生きがい♡
　みんな料理上手なんだよね～♪』",""
"『あ、ちなみに家畜君たちのご飯も、
　私たちのご飯と変わらないからね？
　ちゃんと作った人に感謝しながら食べなよ～♡』",""
"<アル>
『美味しいご飯♪
　確かに家畜って言われてるわりには、
　結構豪華だったかも！私も晩御飯楽しみだな～♪』",""
"<アル>
『……え？家畜から抜け出せたら、
　このご飯も食べなくなる……？
　う、うぅ……で、でも、自由の方が大事だよね…！』",""
"EV012",""
"『食事前の休憩時間で、
　図書室から借りてきた本を読むのが私の日課なんです。
　最近はこの屋敷の子が書いた、
　家畜とのラブストーリーにハマっていますね。』",""
"<アル>
『……実話だったりするのかな？
　障害を乗り越える恋って、
　やっぱり読んでると応援したくなっちゃうよね！』",""
"<アル>
『ねぇ、\n[1]！
　よかったら1冊借りていこうよ～♪』",""
"EV013",""
"『私の前に座ってる子さ、
　最近私が書いた本を読んでくれてるんだよね。
　すっごいニマニマしながら読んでくれてるから、
　嬉しいやら恥ずかしいやら………』",""
"<アル>
『おー！作家さんなんだ♪
　やっぱり読者さんの反応を見ると、嬉しいものなのかな？
　正面に座って見てるくらいだし♪』",""
"EV014",""
"『料理当番の子たちは忙しそうですね。
　今なら冷蔵庫から食材を拝借しても、
　バレないでしょうか……じゅるり。』",""
"<アル>
『……つ、つまみ食いはだめなんだよー！
　………じゅるり♪』",""
"EV015",""
"<ミズキ>
『お♪男の子ってことは君、家畜だよね？
　ちょっと君に耳寄りな話があるんだけどさ～♡
　話だけでも聞いてかない？』",""
"何やら宗教勧誘のような怪しい話し方で誘われる。
……あまり気乗りしないが、
今は少しでも情報が欲しい。
貴方は話を聞かせて欲しいと彼女に伝えた。",""
"<ミズキ>
『ありがと♪
　突然なんだけど君さ、
　毎日の労働、大変だと思わない？』",""
"<ミズキ>
『思う？思うよね♪
　そ、こ、で♡
　私から経験値をコインで購入するってのはどお？』",""
"<アル>
『\n[1]はまだ何も言ってないのに、
　この子勝手に話を進めちゃってる……
　でも、ちょっと気になる話だね。』",""
"貴方はアルの言葉に頷き、
彼女にもっと詳しく聞かせて欲しいと伝えた。",""
"<ミズキ>
『ふっふ～ん♪私は上に報告せずに横領……
　じゃなくて、秘密ルートで手に入れた経験値を、
　家畜君たちに売ってあげてるんだよね。』",""
"<ミズキ>
『あ、家畜君たちだけじゃないや。
　たまーに侵入者の子にも売ってあげてるかな？』",""
"<アル>
『え、えぇ～……
　それっていいのかな？よくないよね？
　……私たちにはありがたいけど。』",""
"貴方はアルの反応に同意する。
すくなくとも、
バレたらただではすまないんじゃないだろうか…………",""
"<ミズキ>
『え？そんなことしてたらよくないんじゃないかって？
　まぁ、う～ん、そりゃ、よくないよね。』",""
"<ミズキ>
『でも、お客様に区別はありません、
　お金を落としてくれるなら皆等しく神様ですってね♪
　それが私の考えだから♪』",""
"彼女は貴方の疑問にけらけらと笑いながらそう回答する。
肝が太いのか、後先を考えていないのか…
だが、経験値を売ってくれるというのなら、
それは確かにありがたかった。",""
"<ミズキ>
『お、君も結構乗り気かな？
　そう来なくっちゃね～♪
　じゃ、私の経験値ショップ、見てってよ♡』",""
"<ミズキ>
『いらっしゃいませ～♡
　コインは溜めてきた？』",""
"<ミズキ>
『まいどあり～♪
　……え？ぼったくりじゃないかって？
　そんなことないでしょ～♡』",""
"<ミズキ>
『ストップストーっプ！
　私に君と争う意思はないから！
　ほら、その剣を下ろして？』",""
"<ミズキ>
『戦いなんかよりさ、
　もっと建設的な交渉ってやつをしようよ♪
　君、コインもってるでしょ？』",""
"青い髪の女性は貴方にそう剣を下ろすように言い、
そうもみ手しながら確認した。
そんな彼女を貴方は怪しみながらも。
持っていると答える。",""
"<ミズキ>
『やっぱり？命乞いの時は、
　それ使えってのがご主人様の指示だもんね～♪
　じゃ、君は私の客たり得るってことだ♡』",""
"<ミズキ>
『私はミズキ♪
　この屋敷内で内密に、
　経験値商人をやらせてもらってるものだよ♡』",""
"<アル>
『経験値……商人？
　確かコインって、
　強い装備とかと交換できるんだったよね？』",""
"貴方はアルとともに首を傾げる。
経験値商人というのは、少し不思議な響きだった。",""
"<ミズキ>
『ふっふ～ん♪私は上に報告せずに横領……
　じゃなくて、秘密ルートで手に入れた経験値を、
　侵入者君や家畜君たちに売ってあげてるんだよね。』",""
"<ミズキ>
『お、君も結構乗り気かな？
　そう来なくっちゃね～♪
　じゃ、私の経験値ショップ、見てって♡』",""
"<ミズキ>
『ちなみに、もし強盗しようなんてしたら……
　私は一目散に逃げて、もう売ってあげないからね？
　よりよい関係を築けることを願ってるよ♪』",""
"<ミズキ>
『まいどあり～♪
　またコインをためてきてね～♡』",""
"EV016",""
"扉は固く施錠されている……",""
"もう自分の部屋に戻っている暇はない。
先を急ごう。",""
"EV017",""
"EV018",""
"『今は大事な話し合いの最中です。
　部外者は退出をお願いします。』",""
"<アル>
『一体何の話し合いをしてるんだろ？
　こういう「きみつかいぎ」って、
　盗み聞きしたくなっちゃうよね♪』",""
"EV019",""
"『最近家畜君たちからもらえるエネルギーが……
　っと、家畜君？今大事な話してるから、
　遊びたいなら他の子を誘ってね～♡』",""
"<アル>
『……ん～？
　何の話か気になるけど、
　私たちには話してくれなさそうだよね～…』",""
"EV020",""
"【警告】
家畜部屋から何者かの協力により、
契約の魔術を解除した脱走者が屋敷に侵入。
速やかに捕えてください。",""
"貴方たちが屋敷内に入ると、
そんなアナウンスが流れる。",""
"<アル>
『わ、わ！
　やばいね！向かってくる子は、
　何とか倒さないと！』",""
"<アル>
『大丈夫、
　\n[1]ならボスのところまで行けるよ！
　気を引き締めて頑張ろ！』",""
"EV021",""
"EV022",""
"EV023",""
"EV024",""
"EV025",""
"EV026",""
"EV027",""
"EV028",""
"EV029",""
"EV030",""
"EV031",""
"EV032",""
"EV033",""
"【チュートリアル：メイドたちのスキップ機能】
メイドたちとの戦闘スキップは、
カードとは異なりHP,MPの両方に一定のダメージを受けます。","【Tutorial: Maid Skip Function】
You can skip fights with maids with the key items,
but, unlike with cards, you'll lose a certain amount
of HP and MP when you do so."
"そのダメージでHP,MPのどちらかが1以下となった場合、
敗北シーンが発生してしまうので、
その二つの残量には少し注意しましょう。","If either your HP or MP reaches 1 from that damage,
you'll end up in a loss scene, so please pay attention
to both of them."
"また、彼女たちを倒しても、
直接経験値を得ることはできません。
この館どこかにいる、
コインを経験値に変換してくれる商人を探しましょう。","Furthermore, you can't earn experience by defeating
the maids. There is a merchant who can exchange coins
for experience in the mansion instead."
"その分、彼女たちから得られる経験値は多めです。
また彼女たちは特定のエリアに侵入するまでは、
追ってくることはないので計画的に戦闘を行いましょう。",""
"EV034",""
"EV035",""
"EV036",""
"EV037",""
"EV038",""
"EV039",""
"EV040",""
"EV041",""
"EV042",""
"EV043",""
"EV044",""
"EV045",""
"EV046",""
"EV047",""
"EV048",""
"EV049",""
"その分、彼女たちから得られる経験値は多めです。
また彼女たちは特定のエリアに侵入するまでは、
追ってくることはないので戦闘は計画的に。",""
"EV050",""
"回想部屋に移動しますか？
【回想部屋でのレベルの上下は、
　ダンジョンに戻るときにリセットされます】",""
"はい",""
"いいえ",""
"EV051",""
"EV052",""
"EV053",""
