"EV001","",""
"小悪魔B","","Imp B"
"優香を犯す","","Level Drain Yuuka"
"優香を犯さない","","Let her go"
"<アル>
『\n[1]…………』","","<Al>
""\n[1]..."""
"制止するアルを振り切り、
貴方は彼女の上にまたがった。","","You shook your head to Al as she called out to you
and got top of Yuuka."
"<優香>
『く、アンタなんかに………あっ、あっ、まっ、だめっ…！』","","<Yuuka>
""Ugh... I won't lose to someone like you...
 Ah... Ah... W-Wait... Nooo...!"""
"<優香>
『いや、いや、イく……まって、まって、もう……！
　イっくぅぅ♡』","","<Yuuka>
""No, no... Cumming... W-wait... I'm already...!
 Cummiiiiing♡"""
"貴方は優香を犯した。","","You violated Yuuka."
"<優香>
『はぁ…………はぁ……
　覚えてなさい。
　この屈辱は、ぜったいいつか晴らして見せるから……』","","<Yuuka>
""Haah... Haah... I'll remember this. One day I'll get
 back on you for this humiliation..."""
"<アル>
『えへへ♪
　\n[1]ならそう言ってくれると思ってたよ♪』","","<Al>
""Ehehe♪ \n[1], I thought you would say
 that♪"""
"アルは嬉しそうに貴方の選択を歓迎する。","","Al gladly welcomed your decision."
"<優香>
『ふん、甘ちゃんね。それで私に情けをかけたつもり？』","","<Yuuka>
""You're not going to do it? Are you showing pity or
 something?"""
"地面に倒れ伏した優香は、
貴方も見上げながらにらみつける。","","Yuuka glared at you from the ground."
"<優香>
『は？そんなつもりはない？
　なんとなく女の子を犯すのは気が引ける？』","","<Yuuka>
""Huh? That's not it? Violating girls like that doesn't
 leave a good taste in your mouth, you say?"""
"<優香>
『なにそれ、ばっかじゃないの……。
　意味わかんないし』","","<Yuuka>
""What the heck do you mean by that? That's so stupid.
 I don't see your point."""
"<優香>
『だいたい、女とか男とか、
　それ以前に私はアンタの敵でしょうが。』","","<Yuuka>
""Besides, what does it matter if I'm a man or a woman
 when we're enemies?"""
"<優香>
『それでも？
　……あっきれた。ほんとに救いようのない馬鹿ね。』","","<Yuuka>
""You still won't do it? Aaaah! You're seriously pissing
 me off. Why am I talking to a hopeless dumbfuck like
 you?"""
"<アル>
『えへへ♪\n[1]はそう言う人なんだよー！
　どうだー、参ったかー♪』","","<Al>
""Ehehe♪ \n[1] is just such a gentleman!
 Well? Have you given in already?"""
"言葉を吐き捨てる優香にアルがそう勝ち誇る。
…………一体、どこに勝ち誇る要素があったのだろうか。","","Al proudly complimented you after Yuuka spat her curses
at you. "
"<優香>
『は？あのレベル上げの方法はやめろ？
　…………嫌。せっかく見つけた、攻略法だし。』","","<Yuuka>
""Huh? I should stop leveling my method? Like hell I
 will. Not after I found such a perfect way to beat
 the game."""
"優香はどこかすねたように視線を背ける。","","Yuuka looked away from you as if sulking."
"<アル>
『ねぇねぇ、ちょっと言いたいことがあるんだけどさ！
　彼女に、代わりに伝えてもらえる？』","","<Al>
""Hey, there's something I want to ask her!
 \n[1], can you do it for me?"""
"優香のそんな態度に困っていると、
アルが貴方にそう頼みごとをする。","","Just as you were pondering what to do about Yuuka's
attitude, Al asked you something."
"<アル>
『あ、うん！えっとね？』","","<Al>
""Ah, okay! You see..."""
"<アル>
『この子、いっきに他の人の魂を取り込みすぎて、
　精神にちょっとノイズが走ってるみたい。』","","<Al>
""This girl has been has been taking so many of other
 peoples souls into herself that her own soul is
 starting to make noise."""
"…………魂？","","You had no idea why Al was suddenly talking about
souls."
"<アル>
『あ、ごめん！まずはその説明からだよね！』","","<Al>
""Ah, sorry! I should start explaining from there
 first!"""
"<アル>
『えっとね……
　この子の状態で確信したんだけど…』","","<Al>
""You see... After seeing the state of that girl,
 I'm quite confident in my speculation."""
"<アル>
『「レベルドレイン」と「ソウルアブゾープション」って、
　本質的には同じ力だと思うんだ。』","","<Al>
""I think that Level Drain and Soul Absorption are
 fundamentally the same thing."""
"<アル>
『多分、
　どっちも相手の魂を吸い出して、自分のものにする力！』","","<Al>
""Both of them are powers to suck and absorb others'
 souls into your own!"""
"<アル>
『違いは、その対象が人か、モンスターか、
　それだけだと思うの。』","","<Al>
""The only difference that I can see between them is
 if the power is used against human or monster."""
"<アル>
『えっと、詳しく説明するとね？
　魂って、基本的には人それぞれ、
　特徴みたいなものがあるんだけど…………』","","<Al>
""Um, to explain souls... Each person basically has
 a soul that is unique to that person."""
"<アル>
『ここのモンスターにはそれがなくて、
　無色透明のエネルギーみたいなものなの。』","","<Al>
""However, the monsters's souls aren't like that.
 It's more like they're just a mass of colorless
 energy."""
"<アル>
『多分誰かに人為的に生み出された存在なんじゃないかな？
　このダンジョンを作った、自称神様だと思うけど…
　今は、それを置いといて！』","","<Al>
""They're probably artificial creatures made by someone.
 Probably by the god who created this dungeon...
 But let's leave that aside for now!"""
"<アル>
『モンスターの魂は無色透明だから、
　「ソウルアブゾープション」で、
　モンスターの魂を丸ごと取り込んでも平気。』","","<Al>
""Since the monsters' souls are colorless, it's fine
 to absorb them with Soul Absorption."""
"<アル>
『でも、人の魂は違う。』","","<Al>
""However, it's different when it comes to human souls."""
"<アル>
『もともと、別の人の魂を自分のものにする、
　レベルドレインには危険が伴うんだけど…』","","<Al>
""Even absorbing a part of another person's soul poses
 a danger, but..."
