"EV001",""
"『……あ、もしかしたら、
　料理を注文するように誘導するかもしれないけれど♡
　耳元で吐息吹きかけながら、
　甘ったるくおねだりしたりして、ね？』","""...Oh, but I might lead you on to order a meal♡
 I would beg you in sweet whispers while blowing on 
 your ear until you ordered food♡"""
"女性はそう言うと、
妖しく唇を窄めて貴方にウインクする。
その色気にぞくりと背筋が震えてしまった。","After saying that, the owner seductively winked at you 
while narrowing her lips. What she did looked so sexy
that you felt a shiver run down your spine."
"<アル>
『\n[1]、ダメだよー！！
　ゆ、誘惑には負けないようにしないと！
　お腹いっぱいになるまでご飯頼まされ、ちゃう…よ？』","<Al>
""\n[1], No! D-Don't lose to the temptation!
 She's going to make you order food until you can't
 eat any more!"""
"<アル>
『………………………………』","<Al>
""......"""
"<アル>
『……それくらいなら、別にいいかも？
　私も美味しいもの、たくさん食べられるし！
　うん、誘惑に負けちゃえー♡』","<Al>
""...Wait, wouldn't that actually be fine? I would
 get to eat all the delicious foods too! Yeah!
 \n[1]! Lose to the temptation♡"""
"『あら、そうなの。
　ふふ、私の店は冷やかしも歓迎よ。
　遠慮せず店内に入ってきてね。』","""Oh? Ahaha. Window-shopping and chatting with other
 customers are also welcome in my shop. Come on in."""
"『随分落ち込んだ顔をしてるわね。
　一体何があったの？
　私でよければ話くらいなら聞くわよ。』","""You're looking down. Did something happen? I can
 listen if you want to talk.""
 "
"貴方の目の前にお水が入ったコップを出しながら、
女性はそう貴方に尋ねた。
そんな女性に貴方はコロシアムでの顛末を話した。","When the owner said that and placed a cup of water in
front of you, you told her what happened at the
Colosseum."
"『そう……
　コロシアムでそんなことが……
　貴方、初心者狩りにあっちゃったのね。』","""I see. That kind of thing happened... You fell prey 
 to a newbie hunter at the Colosseum."""
"『この街ではそういうことが多いのよ。
　特に現実世界と違って、
　女の子の方が男の子より強い場合が多いから…………』","""Those kind of things are quite common in this city.
 Unlike in real world, girls are often stronger than
 boys in this game..."""
"『元の世界の認識のまま、
　男が力勝負で女に負けるわけがない、
　女の子は可憐で護ってあげなきゃいけないんだ…
　なんて考えの人はあっという間にカモにされちゃうの。』","""That's why people who think that men won't lose to 
 women and girls need to be protected quickly fall to
 such traps."""
"『貴方もどこか、
　そういう風なことを思ってたんじゃないかしら？
　だから、簡単に女の子の罠にはまってしまった。』","""Did you also happen to think like that? That would
 explain why that girl managed to take advantage of 
 you."""
"『きつい言い方をするようで悪いのだけれど、
　考えを改める必要があると思うわよ。
　ここでは女の子の方が男の子より強い、
　ちゃんとそんな風に意識しておくことをお勧めするわ。』","""This might sound a bit harsh, but I believe you need 
 to change the way you think. You need to realize that
 girls are stronger than boys in this world."""
"そうする","I will do that"
"余計なお世話だ","That's none of your business"
"『ふふ、素直なのはいいことよ。
　案外人からこういわれても、
　納得できないって人も多いんだもの。』","""Ahaha. Thank you for listening to my advice. You see,
 there are unexpectedly many who can't accept that 
 fact."""
"『貴方がそう思えたってことは、
　今回の負けは無駄じゃなかったってこと……
　あまり恥ずかしがる必要はないわ。』","""Now that you've understood why it happened, your loss
 wasn't pointless and you don't need to feel ashamed
 over it."""
"貴方の返答に女性は柔らかく微笑んだ。","The owned looked at you with gentle smile when you
seriously took her advice."
"『大丈夫、
　油断せず着実に努力すれば、
　必ず実力がついてくるのがこの世界…………』","""Don't worry. This world rewards those who steadily
 work hard with power..."""
"『自分を見失わないで努力を続ければ、
　一度負けてしまった相手にもきっと勝てるようになるわ。
　私も応援してるわね♡』","""As long as you don't lose the sight of your goal and
 work hard, you'll be able to defeat an opponent who
 you previously couldn't. I'll also be here to cheer
 for your success♡"""
"<アル>
『そう、だよね。
　努力した分だけレベルが上がって強くなれるんだもん！
　次はもっとレベルを上げて挑めばいいだけだよね！』","<Al>
""That's right. You can get stronger and increase your 
 level as long as you put the effort behind it! We just
 need to challenge that girl after leveling up more!"""
"<アル>
『この人の言う通り、
　今は相手の方が強いんだって認めて……
　そんなあの子にも勝てるように頑張ろ、\n[1]♪』","<Al>
""Like she said, we should accept that our opponent is
 stronger than us right now... And we should work hard
 to overcome that power difference, \n[1]♪"""
"『…そうね、出過ぎた言葉だったわ。
　傷心中の貴方に言っていい言葉じゃなかったかも。
　ごめんなさい、謝るわね。』","""...I see. I'm sorry, that might have been a bit too 
 much to say when you're feeling down from your loss."""
"『…さ、気分転換に美味しいご飯でもどう？
　今日のメニューは自信作よ、
　嫌な思い出なんて美味しい料理で忘れさせてあげる♡』","""Hey, why not eat some delicious food for a change of  
 pace? I'm really confident in today's menu. So much
 as to say that it will make you forget all about your 
 bitter experience♡"""
"<アル>
『\n[1]…
　うん、私も気分転換は大事だと思うよ！
　美味しい料理を食べて、元気だそ♪』","<Al>
""\n[1]... I also think that a change of mood
 is important! Let's eat some delicious food to
 cheer up♪"""
"『あら、そうなの。
　………顔色、よくないわね。
　話くらいなら聞くから、
　いつでも遠慮なく声をかけてちょうだい。』","""Oh... If you want to talk, don't hesitate to say so.
 You're looking a bit pale."""
"『機嫌がよさそうな顔ね。
　何かいいことでもあった？』","""You seem to be in a good mood. Did something nice
 happen?"""
"『そう………
　自分を騙そうとした女の子に一泡吹かせることができたの。
　なるほど、それは気分もよくなるわね。おめでとう。』","""I see... You managed to defeat a girl who tried to
 deceive you. That would certainly put anyone in a
 good mood. Congratulations."""
"『でも意外だわ。この街では、
　そのままカモにされちゃう男の子が多いんだもの。
　貴方は強くなれるかもしれないわね。』","""However, it's also a bit unexpected. It's quite common
 for boys to fall prey into such traps in this city.
 It might be a sign that you're going to become strong
 when you didn't."""
"女性はくすくすと微笑みながら、
そう貴方の勝利を称えた。","The owner congratulated you for your victory in gentle
smile."
"<アル>
『ふふ～ん♪
　\n[1]はあんな卑怯な女の子に負けたりしないよ！』","<Al>
""Ehehe♪ \n[1] won't lose to those kind of
 bad girls!"""
"そんな彼女の言葉に、
アルが誇らしげに胸を張っている。","After hearing the owner's praise, Al also bragged off
about you with her chest puffed with pride."
"女の子に負けるわけがない","I don't lose to girls"
"油断せずにこれからも頑張る","I'll continue to be careful"
"『こら、そういう慢心はよくないわよ。
　たまたまその子に勝てたからと言って、
　全ての女の子に勝てるわけじゃないんだから。』","""Now now, you shouldn't get so self-conceited.
 Just because you won against a single girl doesn't
 mean you're going to win against all of them."""
"『この街には強い女の子もいっぱいいるの。
　貴方もちゃんと、それを覚えとかなきゃダメよ？
　勝って浮かれちゃうのはよく分かるんだけどね。』","""You need to keep in mind that there are a lot of
 strong girls in this city. However, I can understand
 how you're in high spirits after the victory."""
"女性は貴方をそう軽くたしなめる。
どこかそんな態度に反発を覚えて、
貴方はもう一度女の子には負けないと告げた。","The owner slightly rebuked you for your attitude. 
However, what she said had the opposite effect and
you told her again: I don't lose to girls."
"『頑固ね……
　そんな態度じゃいつか痛い目に合うと思うけど…
　まぁ、私がしつこく言うのもお門違いかしら。』","""How stubborn... You're likely to get hurt because of 
 that attitude one day, but I guess it's not my place 
 to preach about it."""
"『それに今は勝っていい気分なんだものね。
　水を差してしまってごめんなさい。
　ほら、せっかくの勝利祝い……
　ぜひ私の店で料理を食べていって頂戴。』","""Moreover, now it's time to celebrate over your 
 victory. Sorry for pouring cold water on you like 
 that. Please sit down to eat my delicious food by
 all means."""
"『今ならさっきのお詫びに、
　一品無料で追加サービスしてあげるわよ♡』","""I'll even throw in an extra dish free of charge as an
 apology♡"""
"<アル>
『わーい♪
　ね、賞金ってまだ残ってた？
　ここで美味しいご飯食べていこうよー♪』","<Al>
""Yay♪ Hey, \n[1]! Do we still have money
 left from our winnings? I want to eat delicious
 food here♪"""
"『あら、
　勝って兜の緒をなんとやら……ということね。
　勝利に浮かれないなんて偉いじゃない。』","""Oh my. You're still cautious after the victory.
 It's admirable to not let the victory go to your
 head."""
"『そんな貴方だからこそ、
　今回もコロシアムで勝てたのかもしれないわね。
　うん、なんだか納得できる気がするわ。』","""With that attitude, you probably won't have trouble
 winning the next round either... Yes, that's the kind 
 of vibe I'm getting from you."""
"女性は柔らかく微笑んだままそう言葉を続ける。
そんな彼女の褒め言葉に貴方は照れ臭くなってしまった。","When the owner said that with a gentle smile, her 
praise made you feel slightly bashful."
"『くす♪もしかして照れてるの？　
　コロシアムで勝つくらい強い男の子なのに、
　案外かわいいところもあるのね。』","""Ehehe♪ Are you getting bashful? You've got an  
 unexpected cute side even when you're strong
 enough to win at the Colosseum."""
"『でもそういう素直さ、私は嫌いじゃないわ。
　そういうところを見せられると、
　ついつい貴方のことを応援したくなっちゃうわね。』","""I don't hate that kind of meekness. It makes me want 
 to cheer for you even more."""
"『ね、私に勝利祝いさせてちょうだい？
　料理を頼んでくれたら一品サービスしてあげるわ♡』","""Hey, would you like to celebrate your victory with my 
 food? I'll throw in an extra dish to your order♡"""
"『お祝いなのに無料じゃないのか？
　ふふ、それはまぁ私も商売なんだもの。
　大目に見てちょうだいな。』","""Oh? Can't I make the whole meal free since it's a 
 victory feast? Ahaha. Sorry, but I have a shop to
 run. An extra dish is as much as I can do."""
"貴方の疑問に女性は茶目っ気たっぷりに、
そう返答してウィンクした。","The owner playfully winked after answering your
question."
"<アル>
『えへへー♪
　せっかくだからお祝いしてもらおうよ！
　美味しい料理♪楽しみー♡』","<Al>
""Ehehe♪ \n[1], we should celebrate since
 we won the match! I can't wait to eat some
 delicious food♡"""
"『あら、そうなの。
　機嫌よさそうな顔だったから、
　何かあったと思ったのだけれど。』","""Oh... You look to be in a good mood, so I was sure
 something nice happened."""
"『そう………
　自分をカモ扱いした女の子に、
　リベンジすることができたのね。
　よかったじゃない。』","""I see.... You managed to get revenge on a girl who
 took advantage of you. That's great to hear."""
"『一度の敗北で、
　腐らなかった結果と言えるわよね。
　おめでとう、かなり頑張ったんでしょ？』","""You could say that it's the result of not letting the
 first loss keep you down. You must have worked hard to
 beat her, right? Congratulations on your success."""
"<アル>
『うんうん、改めておめでとう♪
　よく頑張ったねー、\n[1]♪』","<Al>
""Yes, I want to say it again too♪ Congratulations♪
 \n[1], you worked so hard♪"""
"女性とアルのねぎらいに、
貴方は少し照れながらも感謝を告げた。","When the owner and Al congratuled you over the victory,
you felt slightly bashful as you thanked both of them."
"女性はニコニコと笑顔でそう貴方をねぎらう。
そんな女性に貴方は感謝を告げた。","You thanked the owner when she congratulated you in
smile."
"『今日は祝勝会ね。
　大した物は出せないけど、
　私のお店で存分に疲れをいやして頂戴。
　食べた分のお代はしっかり頂くけれど♡』","""So it's a victory feast today. My dishes might not be
 all that special, but please eat them to your hearts
 content. I'm still going to charge you for what you 
 eat, though♡"""
"無料じゃないの？","It's not free?"
"ちゃんとお代は払います","I'll properly pay for it"
"『それはもちろん、私も商売なんだもの。
　無料で提供してたらやっていけないわ。でもその分、
　お祝いの気持ちをちゃーんと料理に込めてあげる♡』","""That's given since I'm a merchant. I can't make living
 if I let people eat for free. However, I'm going to 
 put all my heart into preparing your dishes instead
 of that♡"""
"『調味料は真心です、なんてね。
　その分の追加料金は取らないから、
　ご飯のお金だけくださいな♡』","""I'll put everything into bringing out the flavor.
 I won't charge extra for that, so you'll need to
 pay just for the base dish♡"""
"貴方の言葉に女性はくすくすと笑いながら、
そう茶目っ気たっぷりに告げる。","The owner playfully answered your question with a
smile."
"<アル>
『ちゃ、ちゃっかりしてるってことなのかな？
　でも\n[1]、たまにはお財布のひもを緩めて、
　美味しいご飯をたらふく食べようよー♪』","<Al>
""I-Is this what they call a shrewd businesswoman?
 However, \n[1], we shouldn't always be
 stingy with money! Let's eat some delicious food♪"""
"そう貴方にねだるアルに貴方は苦笑する。
賞金が残っていれば、
ここで料理を食べるのもいいかもしれない。","You looked at the hungry Al with wry smile while
thinking that eating here might not be as long as
you have some of the prize money remaining."
"『ほら、ご飯食べたくなってきたでしょ？　
　腕によりをかけて作ってあげるから何でも注文してね。』","""Hey, you're starting to want to eat, right? I'll put
 all my skill into making it, so order anything you
 want.""
 "
"『こう見えても私、
　得意料理の幅には自信があるの。
　遠慮なく好きな料理をリクエストして頂戴。』","""You see, I'm quite confident in my range of cooking.
 Go ahead and request your favorite food whatever it
 is."""
"<アル>
『わーい♪
　\n[1]、私アップルパイが食べたいなー♡』","<Al>
""Yay♪ \n[1], I want to eat apple pie♡"""
"『ふふ♡ちゃんと私に事よく分かってるじゃない。
　ええ、お金払いのいいお客さんは好きよ。
　これはサービスしてあげないといけないわね♡』","""Ahaha♡ Yes, looks like you know me. I like paying
 customers the best. I need to throw in some extra
 service for that♡"""
"『たっぷり料理に愛情込めてあげる。
　そうね～、私の料理じゃないと満足できない……
　そんなおまじないを込めてあげようかしら。』","""I'll put all my love into preparing your food.
 Yes... Maybe I'll fill it with so much love that
 you don't want to eat anything but my food ever
 again♡"""
"<アル>
『そ、それは愛情っていうのかな……？
　この人の目、お金のマークになってる気がするよー……』","<Al>
""C-Can you even call that love anymore? I have a
 feeling her eyes turned into dollar marks..."""""
"『くす♪そんな顔しないで頂戴。
　ただの冗談よ、冗談。
　ちゃんとおめでとうって気持ちだけ、
　料理にたっぷり込めてあげる。』","""Ahaha♪ Please don't make such a face. It was a joke.
 Just a joke. I'll only put my feelings of celebration
 to preparing your dishes."""
"『これでもちゃんと、
　貴方のことをお祝いしたいっていう気持ちもあるのよ？』","""I might have said all that, I still want to celebrate
 your victory as the first thing."""
"『だからどしどし、
　好きなものを頼んで頂戴ね。
　腕によりをかけて作ってあげるから♡』","""That's why order your favorite dishes one after
 another without hesitation. I'll put all my skills
 into preparing them♡"""
"<アル>
『な、なんだか乗せられてる気がするけど……
　私も美味しいもの食べたい！
　ねぇ\n[1]、アップルパイ食べよー♡』","<Al>
""I-I have a feeling she's taking us for a ride...
 But I want to eat delicious food too!
 Hey, \n[1]! Let's eat an apple pie♡"""
"『暗い顔してる。
　そうね～……もしかしてコロシアムで何かあった？』","""You're looking down... Did something happen at the
 Colosseum?"""
"『あら…顔見知りの子に、
　コロシアムでコテンパンにされちゃったのね。
　それは……確かに心にきちゃいそう。』","""Oh... An acquittance of yours beat you black and
 blue at the Colosseum? That certainly gets anyone
 down."""
"『しかも、
　その子は何かずるをしていて、
　貴方はそれを止めなきゃいけないと思っていると…』","""Furthermore, you're trying to stop her from doing
 cunning deeds..."""
"『…優しいのね。
　普通は恥ずかしい目に合わされたら、
　その相手の不幸を願うくらいのはずだけれど。』","""...That's so gentle of you. Normally people wish for
 misfortune to fall on their opponent after they
 embarrass you in the Colosseum."""
"『少なくとも、
　私なら相手のことを思ってなんかいられないわね。
　地獄に堕ちろ、くらい考えるかしら。』","""At the very least, I wouldn't be able to show any
 consideration for my opponent. I would perhaps hope
 for them to burn in hell."""
"女性は冗談っぽく笑いながらそう言う。
あまり容姿に似合わない物騒な言葉に、
貴方は思わず笑みを浮かべてしまう。","The owner jokingly said that. Cursing didn't suit
her appearance at all, so you couldn't help laughing
at that."
"『ちょっと、笑わないでよ。
　…まぁ、地獄に堕ちろ、は言い過ぎかもね。
　でも貴方みたいに相手のことを思えそうにはないわ。』","""Hey, please don't laugh... Well, burning in hell
 might be going a bit far. However, I wouldn't be
 able to think of my opponent like you."""
"『ふふ♡
　そういう甘さというか優しさというか……
　私は好きよ。はい、これ。慰めの一品。』","""Ehehe♡ When it comes to that kind of naivety and
 gentleness... I like it. Here, it's a comfort dish
 for you."""
"そう言って女性は小皿を貴方の前に置く。
見た目からはだし巻き卵のように思えた。","After saying that, the owner placed a small plate with
a Japanese rolled omelette in front of you."
"ありがとう","Thank you"
"もうちょっと豪華なものが欲しい","I want something a bit more extravagant"
"『どういたしまして。
　あんまり1回の負けを気にしすぎちゃダメよ？
　コロシアムで無敗の人なんてめったにいないんだから。』","""You're welcome. You shouldn't let a single loss get
 too deep into your head, okay? Close to no one has
 managed to clear the Colosseum without any losses."""
"『これを食べて、元気を出して、
　またレベルアップに励みなさいね。
　大丈夫、貴方ならきっと強くなれる……
　なんだかそんな気がするわ。』","""Eat this and cheer up, and then go out there to grind
 for levels again. It's okay, because you'll surely
 get strong... That's the kind of feeling I'm getting
 from you."""
"女性はニコニコと笑いながらそう告げる。
彼女の言葉に貴方は胸の内があたたかくなるのを感じた。","When the owner said that with a gentle smile, you could
feel your chest getting lighter with her words."
"<アル>
『ふふ♪この人も優しい人だね。
　この人の言う通り、美味しいものを食べて、
　これからも頑張ろうね♪』","<Al>
""Ahaha♪ She's a really gentle woman. Like she said,
 we should her delicious food and then go work hard
 again♪"""
"そう告げるアルに貴方は頷き、
だし巻き卵にはしを付けた。","You nodded to what Al said and grabbed the omelette
roll with chopsticks."
"彼女のだし巻き卵はふわふわで、
どこか懐かしさを感じる味だった。","The omelette was fluffy and had a somewhat nostalgic
taste."
"貴方の攻撃力が1上がった！","Your ATK increased by 1!"
"貴方はだし巻き卵にはしを付ける。","You grabbed the omelette roll with chopsticks."
"『お粗末さまでした。
　お口に合ったのならよかったわ。
　どうせなら他の料理も、
　頼んでくれると嬉しいんだけどなー♡』","""I hope it was to your liking. I'd be happy if you
 ordered something on top of it too♡"""
"女性は食べ終えた貴方にそう声をかけると、
わざとらしく甘えたような声を出す。","When you had finished eating the omelette, the owner
called to you in unnaturally sweet voice."
"<アル>
『私も他の料理も食べたいな♪
　……！こ、これがこの人の策略……！？』","<Al>
""I want to eat something else too♪ ...Wait! Was this
 her scheme all along?!"
"……策略かどうかはともかく、
確かに彼女の料理はおいしい。
このまま別のものを頼むのもいいかもしれない。","Putting the scheme thing aside, the owner's dishes
certainly tasted good, so ordering something else
too didn't sound bad."
"……今日くらいは奮発して、
料理を食べてもいいかもしれない。
貴方はそんな風なことを思うだろう。","You figured that splurging a bit on food today didn't
sound bad."
"『もう、
　人の好意にケチつけるだなんて良い性格してるわね。
　そんなこと言うならこのお料理も取り上げちゃうわよ？』","""Geez, you shouldn't get picky when people do favors
 for you. I'll take away your dish when you say that."""
"そう言って女性は小皿を貴方の目の前から取り上げる。
そんな彼女に貴方はごめんなさいと謝罪した。","After saying that, the owner picked up the plate from
you. That made you apologize right away."
"『まだ足りない。
　ほら、食べさせてくださいって、
　ちゃんとおねだりしなさい？』","""That's not enough. Why don't you tell how much you
 want to eat it?"""
"女性はそんな貴方の謝罪に、
柔らかく微笑んだままそう告げる。
貴方は彼女に言われるがまま言葉を口にした。","The owner said that to your apology in soft smile.
You did as told and said how much you wanted to eat
the omelette roll."
"『はい、よろしい。
　それじゃ………食べさせてあげる。
　まずは熱いから冷ますように……ふぅ…ふぅ……』","""Yes, that's enough... Then, I'll feed them to you.
 They're still hot, so we need to blow on them first...
 Fuuh... Fuuh..."""
"『うん、十分冷えたわね。
　さ、口を開けて？あーん♡』","""Yes, it should be cool now. Now, open your mouth.
 Aaaah♡"""
"女性はだし巻き卵をはしでつかみ、
唇を窄めて吐息を吹きかけると、
そのまま貴方に差し出す。","After picking up the omelette roll with chopsticks
and blowing on it with her lips, the owner held it
out to you."
"『くす♪どうしたの？顔赤くしちゃって。
　こんな風に食べさせられるのは恥ずかしい？
　でもだーめ。ほら、観念しなさい。あーん♡』","""Ahaha♪ What's wrong? Your cheeks are getting red.
 Is it embarrassing to be fed like this? But we're
 not stopping until you eat it. Now, open wide♡"""
"女性はニコニコと笑顔でそう貴方に口を開けるよう促す。
貴方は観念したように口を開き、
ぱくりと彼女が差し出しただし巻き卵を食べ、
もぐもぐと咀嚼して飲み込んだ。","The owner prompted you to open your mouth with a smile.
You resigned to your fate and opened your mouth. You
chewed the omelette roll that was thrust into your
mouth and then swallowed."
"『お粗末さまでした。
　お味の方はどうだった？』","""Thanks for eating it. How did you find the taste?"""
"からかうような笑みの女性に、
貴方は顔を赤くしながら美味しかったと答える。","When the owner watched you with a teasing smile,
you told her that it was delicious with red cheeks."
"『そう、それはよかったわ。
　言っておくけど今のサービス、
　いつでもしてあげるわけじゃないからね。』","""That's good to hear. By the way, I don't always give
 this kind of extra service."""
"『今のはこれからも頑張ってってエールと……
　わがままを言った貴方に対するからかいかしら。』","""I did it because I wanted to cheer you to continue
 working hard... And also make fun of you when you
 said something self-conceited."""
"女性はくすくすと小さく笑いながら、
顔を赤くした貴方を見つめていた。","The owner quietly giggled while watching your blushed
face."
"<アル>
『な、なんか見てるだけでちょっとドキドキしたかも。
　これが手玉に取られるってことなのかな……！？』","<Al>
""J-Just watching all that happen made my heart skip
 a beat. Is this what it means to lead someone by the
 nose?!"""
