"<Filter:ティルトシフト,tiltshift,2>",""
"『くそっ…！またはずれだ！
　もうチップも残り少ないが……
　いや、ここまで負けたんだ。
　次こそは確率的に勝てるはずだ……！』","""Damn it! I missed again! I only have few chips left
 so maybe it's time to... Wait... Since I've been
 losing so many times in a row, I should have the
 higher chance to win the next bet!"""
"<アル>
『か、かなり熱くなっちゃってるね…！
　一旦冷静になったほうがいいと思うけど…
　うん、私が同じ立場でもこうなっちゃうかも……』","<Al>
""H-He's getting quite fired up! I think he should take
 a moment to calm down... However, I might do the same
 thing if I were in his place..."""
"EV033",""
"『はぁ……
　デートでカジノなのはまだいいんだけど、
　彼女をほったらかしにして熱中するのはどうなのよ…』","""Sigh... Going on a date to the casino is fine in
 itself, but focusing on a game so much that you
 neglect your girlfriend is a bit too much..."""
"<アル>
『……私もほっとかれるのはやだな～…
　そのてん、
　ちょくちょく構ってくれる\n[1]には感謝してるよ♪』","<Al>
""...I don't like getting neglected either. I'm so
 thankful that you look after me, \n[1]♪"""
"EV034",""
"『やった♪大当たり！
　今日は流れが来てるな～♪
　この調子で頼むよ～♡』","""Yeah♪ I hit a massive prize! My flow is finally here♪
 Please let it continue all day long♡"""
"<アル>
『いいな～♡
　やっぱり大当たりすると、
　こう、気分が舞い上がっちゃうよね！』","<Al>
""She looks so happy♡ You can't help getting pumped up
 when you hit a big prize, right?"""
"EV035",""
"『う～ん、なかなか当たらない…
　もうチップも少なくなってきたしそろそろ…
　……でもあとちょっとで当たる気するしな～』","""Mmmh... I haven't been getting many hits today...
 I don't have that many chips left, so maybe it's
 about time... But I have a feeling I'm going to
 hit a big win soon."""
"<アル>
『負け続けると次は勝てるってついつい思っちゃうよね。
　なんかこう、
　今やめたらもったいない気持ちもちょっと分かるな～…』","<Al>
""You can't help thinking that you'll win the next round
 after a lose streak, right? I can understand how she 
 feels like quitting now would be a wasted chance..."""
"EV036",""
"『俺はこの前、
　ついむしゃくしゃして台を叩いちまったんだけど…
　うぅ………その後のことを思い出すだけで、
　身体が震えてきちまうぜ…………』","""This one time I got so pissed that I punched the
 slot machine... However... Uugh... Just remembering
 it makes me shiver..."""
"<アル>
『い、一体何があったんだろ……
　と、とにかく私たちも絶対叩かないようにしようね？』","<Al>
""I wonder what happened? A-At any rate, we should make
 sure not to hit the machines, okay?"""
"EV037",""
"『この街には娯楽がここかコロシアムくらいしかねぇ…
　だったら当然、ここに来るしかないよなぁ？』","""The casino and the Colosseum are the only places for
 amusement in this town... That's why you pretty much
 naturally end up here."""
"『…あん？読書？
　オ、オレは文字を読むだけで頭が痛くなっちまうんだよ。』","""...Huh? Reading? J-Just getting past the first page
 gives me a headache."""
"<アル>
『読書、結構いいと思うけどな～♪
　私も昔は読み聞かせてもらったり……
　………あれ？誰に？』","<Al>
""I think that reading is pretty fun too♪ I can remember
 when books were read to me back in the day... Wait?
 Who read them to me?"""
"<アル>
『うぅ～……
　な、何か思い出せそうな気がしたんだけど…』","<Al>
""Uuh... I-I had a feeling that I was about to remember
 something..."""
"EV038",""
"『ほんとはスロットなんかより、
　バニーガールの子たちと遊べる奴をやりたいんだ。
　………でも、ちょっと緊張しちゃって…』","""I actually want to play with the bunny girls instead
 of doing the slots... But I get way too nervous to
 do it..."""
"『いつも迷っているうちに、
　ついついスロットにコインを入れてしまうんだ…
　あぁ～神様～俺に勇気をくれ～…』","""Then while I'm hesitating, I keep feeding coin after
 coin into the slots... Aah... God, please give me
 the courage..."""
"<アル>
『ふむふむ…そんなに女の人に緊張しちゃうんだ。
　もし私が\n[1]じゃなくてこの人と一緒だったら、
　この人はずっと緊張したりしてたのかな？』","<Al>
""Hmmm... Looks talking to girls makes him really
 nervous. \n[1], if I was with him instead of
 you, he would probably nervous all the time."""
"そうかもしれない","You're right"
"アルなら問題ないと思う","I think he would be fine with you"
"『ふふ～ん♪だよね！
　私みたいな可愛い女の子がずっとそばにいたら、
　緊張で動けなくなっちゃうよね！』","<Al>
""Ehehe♪ Right? If there was a cute girl like me always
 by his side, I bet he would be too stressed out to
 move!"""
"『……\n[1]、それどういう意味～？
　わ、私だって一応女の子なんだからね！
　身体はちっちゃいけど！』","<Al>
""...\n[1]! What exactly do you mean by that?!
 I-I'm a proper girl too! Just a small one at that!""
 "
"EV039",""
"『こっちだと仕事に追われず、
　たまーにモンスターを倒しに行って、
　気が向いたらここにきてって生活ができて…………』","""In this world, you aren't chased by the work, you
 just need to go hunt monsters every now and then,
 and then you can come to the casino if you feel like
 it..."""
"『あぁ～……なんか、
　リアルに戻った時に大変な気がする。
　でも、今の生活をやめようとは思えないのよね～……』","""Aah... I feel like I'll have really hard time to
 cope when I return to real world. But I have no
 intention to stop with my current lifestyle."""
"<アル>
『のんびりできるときは、
　思う存分のんびりしたいって思っちゃうよね～。
　\n[1]もしばらくこの街で暮らしてみる？』","<Al>
""When you can take it easy, you want to go all out at
 it, right? \n[1], why don't you also relax
 in this town for a while?"""
"EV040",""
"『バンガードの任務も楽ではない。
　だからこそこうして、休息の時間が必要なのだ！
　分かってくれるかな？』","""The duties of Vanguard aren't easy. That's why you
 need some time to relax like this! Do you get what I
 mean?"""
"<アル>
『まぁ、うん、
　ずっと働き続けるのは疲れちゃうよね。
　休むのは大事だよ！』","<Al>
""Well, I guess you would get tired if you worked all
 the time. It's important to take some time to rest!"""
"EV041",""
"『この時を重ねし3つの運命だけが、
　俺の魂をいやしてくれる……
　さぁ勝利を司る金色の女神よ、
　今宵も孤独な堕天使に微笑んでおくれ。』","""The fateful hour is finally here. Oh golden Goddess
 who reigns over victory, please grant your smile to
 the fallen angel of solitude tonight.""
 "
"<アル>
『うん……うん？
　\n[1]はこの人が何を言いたいのか、分かる？』","<Al>
""...Um? \n[1], can you understand what he's
 saying?"""
"EV042",""
"『熱くなりすぎず、
　今日はダメだと思ったときには潔く引くのが、
　カジノを楽しむ心得ね。』","""In case of a lose streak, it's a basic rule of casinos
 to stop before you get too carried away and lose all
 it all."""
"『自分の中の敗北の苦みは、
　こうして甘いジュースで洗い流すこと…
　そうすれば自然と癒されるものなのよ。ごくっ。』","""When that happens to me, I wash away the bitter
 feelings of loss by drinking sweet juice like this...
 That's how I can clear my mind."""
"<アル>
『わ～、なんか大人の女性っぽい！
　私たちも負けちゃったら、
　同じようにジュースを飲もうよ！』","<Al>
""Woah! She seems so mature! We should also drink some
 sweet juice like her if we lose!"""
