"ポーション","Potion"
"使用することで店員によるLv.39～45の時のレベルドレインを
簡易化するカード。","Card for shortening the shopkeeper level drain for
lvl 39-45."
"店員カード(Lv.46～50)","Shopkeeper A Card (Lvl 46-50)"
"使用することで店員によるLv.46～50の時のレベルドレインを
簡易化するカード。","Card for shortening the shopkeeper level drain for
lvl 46-50."
"東側控室の鍵","Waiting Room Key"
"闘技場東側控室の鍵。","Key for the eastern waiting room in the arena."
"焼きそば","Yakisoba"
"濃い目のソースが麺に絡められた焼きそば。
【MP70％回復・戦闘時使用不可】","Yakisoba noodles with a thick sauce.
【Recovers 70％ MP・Cannot be used in battle】"
"たこ焼き","Takoyaki"
"大きめのタコが入った熱々のタコ焼き。
【MP60％回復・戦闘時使用不可】","Hot takoyaki filled with big chunks of octopus.
【Recovers 60％ MP・Cannot be used in battle】"
"焼き鳥","Yakitori"
"モモ・皮・つくねの3本セット。
【MP50％回復・戦闘時使用不可】","Triple set of chicken thigh, skin, and meatball.
【Recovers 50％ MP・Cannot be used in battle】"
"フランクフルト","Frankfurt"
"大きなプリっとしたソーセージ。ケチャップでどうぞ。
【MP40％回復・戦闘時使用不可】","Massive juicy sausage with ketchup.
【Recovers 40％ MP・Cannot be used in battle】"
"唐揚げ","Karaage"
"塩味が付いた衣が美味しさの秘訣。
【MP30％回復・戦闘時使用不可】","The salty coating is the secret to its taste.
【Recovers 30％ MP・Cannot be used in battle】"
"ビール","Beer"
"ほろ苦いビール。やっぱり働いた後はこれ？
【MP70％回復・戦闘時使用不可】","Bittersweet beer. Nothing's better after a day's work.
【Recovers 70％ MP・Cannot be used in battle】"
"日本酒・神殺し","Sake・Godslayer"
"名前の割に度数が低く、飲みやすい日本酒。
【MP60％回復・戦闘時使用不可】","Sake that's comparatively light to its name.
【Recovers 60％ MP・Cannot be used in battle】"
"赤ワイン","Red Wine"
"ブドウの深いコクがある赤ワイン。
【MP50％回復・戦闘時使用不可】","Red wine made from deep-flavored grapes.
【Recovers 50％ MP・Cannot be used in battle】"
"レモンサワー","Lemon Sour"
"すっきりとした飲み口と、安さが売りのレモンサワー。
【MP40％回復・戦闘時使用不可】","Cheap carbonated lemon cocktail with a fresh taste.
【Recovers 40％ MP・Cannot be used in battle】"
"缶チューハイ","Canned Chuuhai"
"きっとみんなが最初に飲むお酒。甘くておいしい。味も様々。
【MP30％回復・戦闘時使用不可】","Sweet and delicious sake that comes in many flavors.
【Recovers 30％ MP・Cannot be used in battle】"
"ハンバーグ弁当","Hamburg Bento"
"肉汁あふれるハンバーグが入ったお弁当。
【MP70％回復・戦闘時使用不可】","Boxed lunch with hamburg steak and plenty of gravy.
【Recovers 70％ MP・Cannot be used in battle】"
"生姜焼き弁当","Ginger Pork Bento"
"ガツンとスタミナが付く美味しい生姜焼き弁当。
【MP70％回復・戦闘時使用不可】","Boxed lunch that fills you up with stamina.
【Recovers 70％ MP・Cannot be used in battle】"
"チキン南蛮弁当","Fried Chicken Bento"
"タルタルソースを付けて食べるととても美味しい。
【MP50％回復・戦闘時使用不可】","Boxed lunch that's delicious with tartar sauce.
【Recovers 50％ MP・Cannot be used in battle】"
"野菜炒め弁当","Stir-Fried Vegetable Bento"
"色とりどりの野菜が入った健康的？なお弁当。
【MP40％回復・戦闘時使用不可】","Healthy boxed lunch with a colored mix of vegetables.
【Recovers 40％ MP・Cannot be used in battle】"
"のり弁当","Seaweed Bento"
"白米の美味しさが際立つのり弁当。美味しいよ。
【MP30％回復・戦闘時使用不可】","Boxed lunch that brings out the tastiness of rice.
【Recovers 30％ MP・Cannot be used in battle】"
"コーラ","Cola"
"炭酸飲料の王様。みんな大好き、だから高い。
【MP70％回復・戦闘時使用不可】","The king of carbonated drinks. Delicious but expensive.
【Recovers 70％ MP・Cannot be used in battle】"
"ミックスジュース","Mixed Juice"
"様々なフルーツの味がするのみもの。ぜいたく品。
【MP70％回復・戦闘時使用不可】","Drink with various flavors of fruits. A luxurious good.
【Recovers 70％ MP・Cannot be used in battle】"
"ミルクティー","Milk Tea"
"甘さ控えめで飲みやすいミルクティー。
【MP50％回復・戦闘時使用不可】","Tea that's moderately sweet and easy to drink.
【Recovers 50％ MP・Cannot be used in battle】"
"ソーダ","Soda"
"美味しい炭酸飲料。なぜかコーラより安い。
【MP40％回復・戦闘時使用不可】","Delicious but cheaper than cola for some reason.
【Recovers 40％ MP・Cannot be used in battle】"
"お茶","Tea"
"優しい味のお茶。多分麦茶かほうじ茶だと思う。
【MP30％回復・戦闘時使用不可】","Delicately flavored tea. It's probably barley tea.
【Recovers 30％ MP・Cannot be used in battle】"
"エリクサー","Elixir"
"戦闘中に使用すると全回復する。
1度の戦闘で1度しか使用できないが、消耗しない。","Fully recovers your HP & MP in battle. It won't get
consumed but can only be used once per battle."
"バニーカード(Lv.1～9)","Shopkeeper B Card (Lvl 1-9)"
"バニーカード(Lv.10～17)","Shopkeeper B Card (Lvl 10-17)"
"バニーカード(Lv.18～25)","Shopkeeper B Card (Lvl 18-25)"
"バニーカード(Lv.26～38)","Shopkeeper B Card (Lvl 26-38)"
"バニーカード(Lv.39～45)","Shopkeeper B Card (Lvl 39-45)"
"バニーカード(Lv.46～50)","Shopkeeper B Card (Lvl 46-50)"
"使用すると店員によるLv.46～50の時のレベルドレインを
簡易化するカード。","Card for shortening the shopkeeper level drain for
lvl 46-50."
"敗北装備・スキルセット","Loser's Equipment & Skill Set"
"使用することで弱体化装備と敗北スキルを入手できる。","Using this will give a suicide skill and a set of 
weakening equipment."
"勝利の証(1人目)","Arena Medal 1"
"コロシアムで1人のプレイヤーに勝利した証","Proof of defeating one player in the Colosseum."
"勝利の証(2人目)","Arena Medal 2"
"コロシアムで2人のプレイヤーに勝利した証","Proof of defeating two players in the Colosseum."
"勝利の証(3人目)","Arena Medal 3"
"コロシアムで3人のプレイヤーに勝利した証","Proof of defeating three players in the Colosseum."
"魔よけの十字架",""
"使用することで魔物とのエンカウントの
on/offを切り替えることが出来る。消耗しない。",""
"戦闘スキップ機能","Battle Skip Setting"
"使用することで、
戦闘スキップ機能のon/offを切り替えることが出来ます。","Set the battle skip ON/OFF."
"マジックコイン","Magic Coin"
"屋敷内での通貨として使用されているコイン。
ボスが発行しているらしい。","Coin that's used as a currency in the mansion.
The boss seems to be distributing them."
"形を持たぬ者カード",""
"使用することで形を持たぬ者との戦闘を
簡易化するカード。【経験値～Lv34：1000　LV35～:250】",""
"6000経験値（～Lv.35)",""
"使用するとレベル35以下の場合、経験値6000を入手できる。
（～Lv.35:6000   Lv.35～:3000)",""
"サキュバス特製酒","Succubus Sake"
"サキュバス特製のお酒。
昇天するくらい美味しいらしい。【HP30％・MP60％】","Special sake that nearly makes you ascend to heaven.
【HP30％ & MP60％】"
"サキュバス厳選お菓子セット","Succubus Sweets Set"
"中身が定期的に変化するお菓子の詰め合わせ。
何故か必ずアップルパイは入っているようだ。【HP80％】","Assortment of periodically changing sweets.
For some reason, there's always an apple pie.【HP80％】"
"サキュバス特性おつまみ","Succubus Snack"
"サキュバス特製のおつまみ。
甘い時もあれば塩辛い時もある。【HP50％・MP50％】","Set of special succubus snacks.
Sometimes sweet and sometimes salty. 【HP50％ & MP50％】"
"サキュバス特製ジュース","Special Succubus Juice"
"サキュバス特製の美味しいジュース。
フルーティー。【MP250回復】","Special and delicious succubus juice.
It tastes fruity.【MP250】"
"ウィンドウ透明度変更","Window Transparency Setting"
"ウィンドウの透明度を変更できます。","Set the window transparency."
"1000チップコイン","1000 Casino Chips"
"10チップコインが100枚入っている。
10000Gの価値だがカジノ以外で使い道はない。","Each set comes with ten chips of 100.
Worth 10,000G, but it can only be used at the casino."
"オートモード速度変更","Auto Mode Speed Setting"
"【オートモード＝Tabキー】使用することで、
オートモード時の文字送り速度を変更できます。","Set the text speed on Auto Mode.
【Auto Mode = Tab-key】"
"敵能力値測定器",""
"敵の能力を測定できる",""
"お手軽攻略装備セット","Easy Playthrough Equipment Set"
"お手軽に攻略したい人向けの装備が入っています。
【注意！ゲームバランスを崩壊させる危険があります】","Item set for an easier playthrough.
【Warning! May break game balance!】"
"難易度変更スイッチ","Difficulty Setting"
"使用することで難易度を変更できるスイッチ。","Set the game difficulty."
