"小悪魔A","Imp A"
"カードを使用すると、対応するモンスターの演出をカットし、
能力を大幅に弱体化できます。
さらに得られる経験値は変化しません。","You can use the cards to remove combat lines and
greatly weaken the corresponding monster.
(Experience gain will remain the same regardless of
 the setting)"
"また、簡易戦闘を自動化するかどうかも決定できます。","You can also activate auto-fight for the monster with
their card."
"カードは使用しても消費しないので、
好きなタイミングで切り替えを行ってください。","Cards aren't consumed on use, so feel free to fiddle
with their settings any time you want to."
"また、カードを所持している敵との戦闘は、
戦闘スキップ機能の切り替えが可能になります。
戦闘スキップ機能をonにすると、
敵シンボルに触れるだけで経験値が手に入る様になります。","Furthermore, you can enable Battle Skip against
the monsters you have a card for from Key Items.
When enabled, you'll earn experience by touching
the foes on the map."
"<小悪魔A>
『んふー♡人間さん、もう動けないの？
　私の勝ちだねー♡』","<Imp A>
""Aha♡ Can you not move anymore? It's my win then♡"""
"<小悪魔A>
『私って、このダンジョンで一番弱いんだよー？
　そんな私に負けちゃって恥ずかしくないのー？』","<Imp A>
""You know, I'm the weakest monster in the dungeon?
 Don't you feel shameful in losing to me?"""
"もう身体を動かせない貴方を、小悪魔はそう詰る。
からかうような声色は、嗜虐的な色を含んでいて、
それが貴方の屈辱をさらにあおる。","Imp made fun of you when you couldn't move at all after
losing. You felt really humiliated as she looked down
on you with a slightly sadistic tone."
"<小悪魔A>
『くすくす♪負けちゃった人間さんはー♡
　私がぜ～んぶ魂搾り取ってあげるね♡』","<Imp A>
""Ahaha♪ Since you lost to me, I'll drain everything
 you have for myself♡"""
"勝ち誇った小悪魔は貴方の悔しそうな反応に満足すると、
笑みを深くしながらそう告げる。","After Imp had had her fill with enjoying your
frustrated look, she said she would drain everything
from you in a wide smile."
"<小悪魔A>
『人間さんに拒否権はないからねー♪
　いただきまーす♡あ～むっ♡』","<Imp A>
""There's no way for you to resist, so let's dig in♪
 Aaahm♡"""
"小悪魔は有無を言わさず貴方の肉棒を咥える。
小さな口内に入りきらない肉棒の先端を、
そしゃくするようにもぐもぐと口を動かす。","Imp swallowed your penis into her mouth. She munched
on your glans as they barely fit inside."
"本当に自分の肉棒を、
小さな少女に食べられているような光景に、
貴方の興奮は掻き立てられてしまう。","It looked like a small girl was eating your penis,
and that sight only worked to increase your arousal."
"<小悪魔A>
『んふー♡私のお口の中、気持ちいいでしょー♪
　お兄さんのよわよわおちんぽじゃ何回戦っても、
　勝てないつよーい私のお口だよー♡たっぷり味わってね♡』","<Imp A>
""My mouth feels amazing, right? Fully enjoy my strong
 mouth that your weak dick has no chances to beat♡"""
"ぴちゃぴちゃと水音を立てながら、
小悪魔の小さな舌が肉棒に絡みつく。
小悪魔は裏筋を舌でつつくように愛撫しながら、
頬をすぼめて時折吸い自分の唾液を絡めて吸い出す。","Imp ran her tongue across your penis while making loud
wet noises. At times she caved her cheeks to suck out
your juices while poking your frenulum with her tongue."
"何度味わっても耐えきれる気がしないそのフェラに、
今からすべてを搾り取られるというのに思わず溺れてしまう。","The blowjob felt so amazing that you doubted you could
resist no matter how many times she did it to you.
Even as she was going to suck out everything from you,
you couldn't help losing your head over her blowjob."
"<小悪魔A>
『あむっ♡じゅるる……ちゅっ♡
　もう私のフェラに夢中になっちゃってるねー♡』","<Imp A>
""Mmmh♡ Looks like my blowjob has totally charmed
 you♡"""
"<小悪魔A>
『人間さん負けちゃったんだよー？
　このまま私のお口に全部出しちゃったら、
　ゲームオーバーなんだよー？』","<Imp A>
""But remember that you lost to me♡ If you cum inside
 my mouth now, you're going to lose the game♡"""
"フェラに溺れる貴方に、
小悪魔はちゅぽんと音を立てて肉棒を解放し、
そう言葉にして状況を突き付ける。","As you were getting crazy about the blowjob, Imp
released your penis from her mouth with a loud smack
and reminded you of the situation you were in."
"最初の魔物に負けてゲームオーバーはあまりに情けない…
小悪魔の言葉にそんなプライドが呼び起こされる。","Getting game over on the very first monster.
Imp's words roused out your pride."
"<小悪魔A>
『あは♡プライドが刺激されちゃった？
　私なんかに負けないぞーって考える、
　つよーい人間さんの目になったね♡』","<Imp A>
""Aha♡ Did I hurt your pride? Your eyes got firmer♡
 Are you thinking that you won't lose to someone like
 me or something?"""
"<小悪魔A>
『でもー、そんな目、いつまでしてられるかなー？
　忘れてないよね？このよわよわおちんぽ、
　さっき私にびゅるびゅるイかされちゃったこと♡』","<Imp A>
""But I wonder how long can you keep such eyes?
 Remember that my tongue and lips made this weak dick
 of yours cum just now♡"""
"小悪魔はそう挑発しながら、
小さな口を大きく開いて貴方に見せつける。
舌をれろれろと動かして肉棒を舐めまわす様子を想起させ、
貴方の興奮を掻き立てる。","Imp provoked you like that, and then she opened her
small mouth for you to see inside. She was stirring
your arousal by moving her tongue in the air in the
same way she licked your penis just now."
"唾液に濡れて艶めかしくうっすらと光るピンク色の唇に、
舐めまわすような舌の動き、その扇情的な光景に思わず
肉棒がびくりと震えてしまう。","When Imp licked her tongue across her wet glossy lips,
the sight was so sensational that your penis twitched
in reflex."
"<小悪魔A>
『んふー♡おちんぽはしっかり覚えてるみたいだね♡
　いいこいいこー♡れろぉ♡』","<Imp A>
""Aha♡ Looks like your dick clearly remembers♡"""
"<小悪魔A>
『ご褒美にいっぱい先っぽ舐めてあげるねー♡
　れろぉ♡れろれろ♡』","<Imp A>
""As a reward for it, I'll lick it on the tip♡"""
"小悪魔は褒めるようにそう言いながら、
艶めかしく動く舌を亀頭に這わせるように舐めまわしながら、
ゆびでくりくりと先端を弄る。","Imp praised your penis for remembering and began
seductively licking its tip while also playing with
it with her fingers."
"小悪魔の舌の甘い感触に、
肉棒は嬉しそうにびくびくと震えてしまい、
徐々に貴方の頭の中は真っ白になっていく。","Your penis happily twitched over the sweet sensation
of the imp's tongue while it also gradually turning
your mind pure white."
"<小悪魔A>
『先っぽ舐められてるだけで、
　また目がとろーんってしてきたよー♡れろぉ♡』","<Imp A>
""Just lick on the tip made your eyes space out♡"""
"<小悪魔A>
『弱点をぺろぺろされちゃったら、
　やっぱり簡単に負け犬の目になっちゃうんだー♡
　よわーい♡れろぉ♡れろぉ♡』","<Imp A>
""I just needed to lick your weak spot, and you took
 on the eyes of a loser♡ You're so weak♡"""
"戦闘中と同じように、
小悪魔は貴方を馬鹿にしたような笑みで煽りながら、
一定のリズムで唾液を含んだ舌で亀頭を舐めまわす。","Imp licked your glans with her saliva-coated tongue
in fixed pace while also making fun of you just as
she did during the combat."
"何とかこの生意気な小悪魔に反論しようとするも、
快楽で貴方の思考はまともに働かない。","Even if you tried to object to the cheeky Imp's
accusations, your mind wasn't working straight because
of the pleasure."
"<小悪魔A>
『あは♡されるがままで反論できないんだー♡
　よわよわおちんぽ我慢するので精一杯なのー？
　あ～むっ♡じゅるる♡』","<Imp A>
""Aha♡ You're not even trying to object as I'm having
 my way with you♡ Is stopping your weak dick from
 cumming taking all your strength?"""
"貴方の思考を見透かしたように小悪魔はそう言うと、
さらに追い詰めるために再び肉棒を咥えこむ。","It was as if the imp could read your mind as she said
that. Furthermore, she swallowed your penis inside her
mouth again to finish the work."
"<小悪魔A>
『人間さんのおちんぽ、
　咥えられただけでもうイっちゃいそうだねー♡
　もっといっぱいもぐもぐしてあげる♡れろれろ♡』","<Imp A>
""Your dick is already about to cum when I just put it
 in my mouth♡ I'll munch it a lot more in my mouth♡"""
"小悪魔は小さな舌で鈴口を弄りながら、
上目遣いで貴方を見つめている。
彼女が頬を動かすたびに亀頭は擦れるように刺激され、
肉棒は強い快感に襲われる。","Imp looked at your face in upward gaze while poking
your urethra with her small tongue. Whenever she
moved her cheeks, they rubbed on your glans in
strong pleasure."
"<小悪魔A>
『ん♡我慢汁止まらないねー♡
　このままトドメさしちゃおーっと♡』","<Imp A>
""Mmmh♡ Your precum isn't stopping♡
 I'll finish you off with this♡"""
"小悪魔は妖しく笑みを浮かべると、
頬を窄めてじゅるじゅると音を立て激しく肉棒を吸い上げる。
精液を吸い出すように、カリ首に唇を絡めながら、
激しいフェラで貴方の肉棒を追い詰めていく。","After making a charming smile, Imp caved her cheeks
to suck your penis hard and loudly. She latched her
lips behind your glans while cornering you in her
intense blowjob."
"<小悪魔A>
『ほらぁ♡我慢できないでしょー♡
　また私のお口に出しちゃえ♡
　魂まで吸い出してあげるよー♡ちゅぅぅ♡』","<Imp A>
""Hey♡ You can't take any more, right?
 Cum inside my mouth again♡
 I'll suck out everything down to your soul♡"""
"激しい小悪魔の吸引に、
耐えきれずに貴方は精液を彼女の口に放ってしまう。","You couldn't stand Imp's intense sucking and released
your semen into her mouth."
"\n[1]のレベルが1下がった。","\n[1] lost 1 level."
"<小悪魔A>
『んふー♡たくさん出たねー♡
　ほらぁ♡これが人間さんのおちんぽが、
　私のフェラに負けちゃった証拠だよー♡』","<Imp A>
""Mmmh♡ You let out so much♡ Look♡ This is the proof
 that you lost to my  blowjob♡"""
"小悪魔は貴方の精液を口で受け止めると、
勝ち誇るように口を開いて舌の上で精子を転がすさまを
貴方に見せつける。","After catching your semen, Imp opened her mouth to
display herself rolling it around her tongue in a sign
of her victory."
"その光景に屈辱感を煽られながらも、
思わず興奮して肉棒がむくむくと再び大きくなってしまう。","Even while it was a humiliating sight, it also
instinctively turned you on, and your penis was
getting hard again because of it.
"
"<小悪魔A>
『まだおちんぽは搾られ足りないみたいだね♡
　安心してね？ちゃーんと全部吸い尽くしてあげるから♡
　あ～むっ♡』","<Imp A>
""Looks like your dick hasn't had enough draining yet♡
 Don't worry♡ I'll make sure to drain everything from
 it♡"""
"<小悪魔A>
『んふー♡イったばかりの敏感なおちんぽに、
　私のフェラが耐えられるかなー？じゅるるっ♡』","<Imp A>
""Ahaha♡ I wonder if your dick can endure my blowjob
 now that it's in super sensitive mode?"""
"小悪魔は貴方に休憩を許さず、
射精直後の敏感な肉棒を再び温かな口内で舐り始める。","Imp didn't permit you a moment of rest before starting
to lick your sensitive post-orgasm penis in her mouth."
"遠慮なく弱点を攻め立てるような小悪魔のフェラに、
貴方は思わず腰が引けてしまう。","you couldn't help pulling back your hips in reflex
when the imp skipped all the foreplay to go directly
go for your weak spots."
"<小悪魔A>
『んっ♡んっ♡ちゅっ♡ほらぁ、逃がさないよー♡』","<Imp A>
""Mmmh♡ Mmmh♡ I won't let you escape♡"""
"そんな貴方を逃がさない様に、
小悪魔は激しく顔を前後させて、
肉棒を舌と唇でからめとる様に攻め立てる。","Imp began rocking her head back and forth to pull your
hips back forth with her lips and tongue."
"許容量をはるかに超える快感に、
貴方は先ほどイったばかりだというのに
もう精液がせりあがってきてしまう。","The pleasure was much stronger than what you could
take, and despite orgasming just now, you were at the
brink of a new one already."
"<小悪魔A>
『おちんぽビクビクしてきた♡もう負けちゃいそう？
　はやーい♡んっ♡じゅる♡』","<Imp A>
""Your dick started twitching♡
 Are you already going to lose already?
 That's so quick♡"""
"そんな貴方の肉棒の状態を小悪魔は見透かすと、
言葉でそう責め立てながらラストスパートにかかる。","Imp recognized the state your penis was in and she went
straight for the last spurt."
"<小悪魔A>
『ほらほらぁ♡イっちゃえ♡
　よわよわおちんぽ、また私のお口に搾り取られちゃえ♡
　じゅるるっ♡』","<Imp A>
""C'mon♡ Cum♡
 Let your weak dick get drained by my mouth again♡"""
"言葉でそう煽りながら、
小悪魔はじゅるじゅると音を立てて肉棒を吸引する。
貴方は小悪魔の命令するような視線に耐えきれない。","Imp sucked your penis in loud noises while teasing you
on. Her demanding gaze was too much for you to bear."
"目線に促されるまま、
貴方は再度大量の精液を小悪魔の口に出してしまう。","As per Imp's eyes demanded, you ejaculated massive
load inside her mouth again."
"<小悪魔A>
『んっ♡じゅるっ♡まだまだ残ってるでしょー？
　全部出すまで許してあげないからね♡』","<Imp A>
""Mmm♡ You still have some left, right?
 I won't let you go until I've taken everything♡"""
"<小悪魔A>
『私のフェラで、人間さんの人生終わらせてあげるー♡』","<Imp A>
""I will end your life with my blowjob♡"""
"小悪魔は無邪気にそう笑いながら、
射精の最中も口を動かすことをやめない。
残った魂まで吸い出すように唇と舌で肉棒を舐り続ける。","Imp wouldn't stop sucking even while you were in the
middle of an orgasm. She continued working your penis
with lips and tongue to suck out the soul from your
body."
"<小悪魔A>
『このままぜーんぶ私に吸い尽くされちゃえ♡
　んっ♡れろぉ♡じゅるるっ♡』","<Imp A>
""I won't stop until I've sucked you dry♡"""
"たまらず精液を噴き出し続けて、文字通り、
貴方は小悪魔にすべてを吸い出されてしまう。","You continued releasing the little bits of semen you
had left as the imp was literally sucking everything
from you."
"………………………………","............"
"もう、何も考えられなくなった貴方は
そのまま静かに意識を失ってしまった。","You couldn't even think anymore as you silently passed
out."
"            \{\{-----GAME OVER-----",""
"<小悪魔A>
『うぅ～…
　さっきの人には負けちゃったけど、
　この人間さんには勝てるかな？』","<Imp A>
""Uuh... I lost to the last human, but maybe I can win
 against you?"""
"<小悪魔A>
『うん、きっと勝てるはず！
　人間さん、気持ちよく負けさせてあげるからね♡
　ん～……ちゅっ♡』","<Imp A>
""Yes! I'm sure I can win! I'll make you lose in
 amazing pleasure♡ Mmmh... Smooch♡"""
"<小悪魔A>
『ふふ♡投げキッスなんかでドキッとしちゃうような、
　弱い人間さんにならほんとに勝てそう♡
　いっぱいちゅっちゅってしてあげるからね♡』","<Imp A>
""Ahaha♡ This should be an easy win when you're so weak
 that simple blown kiss makes your heart skip a beat♡
 I'll give you plenty of more kisses♡"""
"カードを使うと、対応するモンスターの演出をカットし、
また能力を大幅に弱体化できます。
その上で得られる経験値は変化しません。","You can use the cards to remove combat lines and
greatly weaken the corresponding monster.
(Experience gain will remain the same regardless of
 the setting)"
"\{\{-----GAME OVER-----",""
"EV002",""
"EV005",""
"マジックウォーターを手に入れた！","Obtained Magic Water!"
"EV006",""
"EV007",""
"EV008",""
"ミックスポーションを手に入れた！","Obtained Mixed Potion!"
"EV009",""
"<アル>:『う～ん…………』","<Al>
""Hmmm..."""
"小悪魔を倒した後、アルが首をひねる","Al tilted her head in thought after you defeated the
imp."
"<アル>:『ん？うん、ちょっと気になることがあってね？
　　　　 まぁ、まだ私も自信ないから……
         確信できたら話すよ！』","<Al>
""Hmm? Oh? You see, I think I noticed something,
 but I'm not sure if my hunch is right...
 I'll tell you more when I'm sure about it!"
"<アル>:『もし間違いだったら、余計な心配させちゃうしね！
　　　　 さ、すすもすすも♪』","<Al>
""I don't want to needlessly worry you if it ends up
 being different to what I think it is!
 Now, let's carry on♪"""
"<アル>:『ん？うん、ちょっと気になることがあってね…
　　　　 まぁ、まだ私も自信ないから…………
　　　　　確信できたら話すね。』","<Al>
""Hmm? Oh? You see, I think I noticed something,
 but I'm not sure if my hunch is right...
 I'll tell you more when I'm sure about it!"
"<アル>:
『また、私の余計な心配かもしれないし…
　ごめんね？なんでもない……先に行こ？』","<Al>
""I don't want to needlessly worry you if it ends up
 being different to what I think it is!
 Now, let's carry on♪"""
"EV010",""
"EV011",""
"EV012",""
"EV013",""
"EV014",""
"EV023",""
"『ふぅ……意外と最初の敵でも油断ならない強さね…
　最初のザコでこうなら、次の敵はもっと強いのかしら』","""Phew... Even the starting mobs are so strong that
 you can't let your guard down for a moment.
 I wonder how strong the next mobs are going to be
 if the weakest ones are already this strong..."""
"<アル>
『\n[1]も結構危なかったもんね！
　次の敵に負けないよう、しっかり強くなってから挑もう♪』","<Al>
""\n[1], you had pretty hard time too, right!
 Let's take our time getting stronger so that we can
 challenge the next monsters without losing♪"""
"EV024",""
"EV025",""
"<可憐>
『あ、やっほ、\n[1]君♪
　ここは休憩所みたいなところかな？
　モンスターも中には入ってこないみたい。』","<Karen>
""Ah! Yahoo♪ \n[1]♪ It looks like this is
 a rest point that monsters can't enter."""
"<可憐>
『体力が減っているとか、
　疲れてるとかならここで休んだほうがいいんじゃないかな？
　そこのベッドも使ってもいいみたいだしね♪』","<Karen>
""Why don't you take a moment to rest if you're tired
 from all the fighting? There are even beds for
 sleeping♪"""
"<可憐>
『ん？私？私は自分の足をマッサージ中♪
　ゲームの中で筋肉がどうなってるのか分かんないけど、
　マッサージしてほぐしててもいいかなって』","<Karen>
""Hmm? Me? I'm massaging my legs right now♪ I'm not sure
 how our muscles work inside the game, but I figured I
 might as well do it to help myself relax."""
"そう言いながら可憐は手を使って、
ぐにぐにと自身の足をマッサージしている。","Karen was massaging her feet with her hands as she said
that."
"彼女の足をじっと見てしまう","Look at her legs"
"邪魔してごめん、と謝罪する","Sorry for interrupting"
"そんな光景を改めて見ていると、ほどよく筋肉がついた、
それでいて女性らしい曲線美を描くすらりとした足に、
貴方の喉はゴクリとなってしまう。","You took a look at Karen massaging her legs once more. 
As you did, you couldn't help gulping at the sight of
her long and slender legs with just the right amount
of muscle."
"<可憐>
『……\n[1]君？くす♪
　そんなにじっと足を見られるとちょっと恥ずかしいな♡』","Karen
""\n[1]? Ahaha♪ It's a bit embarrassing if
 you stare at my legs so hard♡"""
"そんななたの様子に可憐はクスリと頬笑みを漏らし、
貴方にそう言葉を投げかける。貴方はそんな可憐の言葉に、
慌てて彼女の足から視線を視線をそらした。","Karen, noticing your stare, pointed it out and giggled.
You quickly looked away in a fluster."
"<可憐>
『私の足、気になるの？現実の方で町中とか歩いてても、
　男の人の視線を感じることとかはあったんだけど……
　そんなにいいものなのかな？これって。』","Karen
""\n[1], could you be into legs and feet?
 Sometimes, I've noticed men staring at mine in the
 real world... But are they really that good-looking?"""
"可憐は不思議そうに首を傾げながら、
足を持ち上げて貴方に柔らかそうな足裏を見せつける。","Karen tilted her head in wonder as she raised her leg, 
giving you a perfect view of her soft-looking sole."
"扇情的に持ち上げられ、見せつけられた足に、
貴方はダメだと思っていてもやはり視線を奪われてしまう。","You couldn't help staring. Even if you tried not to,
your eyes got drawn to Karen's foot when she held it
up in such a sensational way in front of you."
"<可憐>
『ねぇ、そんなに気になるなら……
　私の足、舐めてみる？』","Karen
""Hey, if you like my feet so much... Do you want to try
 licking them?"""
"唐突にそんな提案を行う可憐に、
貴方は弾かれたように驚いた顔で彼女を見つめる。","You recoiled from shock when Karen suddenly asked such
an unexpected thing."
"<可憐>
『女の子の足を舐めさせられて、
　上下関係を植え付けられるのが好きな人……
　そういう、「マゾ」な男の子もいるんだよね？』","Karen
""I've heard of boys who like it when a girl makes
 them lick her feet... When a girl dominates them.
 There are those kinds of masochist boys, right?"""
"<可憐>
『私は聞いたことくらいしかなかったけど……
　\n[1]君、
　君ってもしかしてそういう「マゾ」なんじゃない？』","Karen
""I've only heard about them... But could it be that
 you're one of them, \n[1]? Are you a
 masochist boy who likes to lick girls' feet?♡"""
"貴方は心を見透かすような彼女の言葉にうろたえ、
誘惑するような彼女の足裏から目が離せない。","You lost your presence of mind when Karen asked that 
as if seeing straight into your mind. You were unable
to tear your gaze away from her tempting foot with the
offer."
"<可憐>
『……くす♪おちんぽ、大きくなってるね♡
　私の足見ながら、
　舐めさせられるって想像して興奮しちゃったんだ♪』","Karen
""...Ahaha♪ Your dick is getting hard♡ Looks like you 
 can't help imagining how amazing it would be to lick 
 my foot when I'm dangling it in front of you♪"""
"<可憐>
『いいよ♪レベルをくれたお礼に………
　私の足、舐めさせてあげる♡ほら、そこに横になって？
　\n[1]君の顔、踏んであげるから♪』","Karen
""It's okay♪ Since you gave me your levels earlier...
 I'll let you lick my foot as a reward for it♡ Now,
 lie down here, and I'll stick my foot in your face♪"""
"貴方は思いがけない状況にぼーっとする頭で、
可憐に言われるがまま、その場で横になってしまう。","Your mind couldn't keep track of things when the
situation developed in such an unexpected direction,
and you ended up doing as told and lying down in front
of Karen."
"<可憐>
『あはは♪ほんとに横になっちゃうんだ？
　こんな風に見下ろされちゃって、
　悔しいとか思わないんだね♪』","Karen
""Ahaha♪ Wow! I can't believe you really lied down♪
 Don't you think it's humiliating when a girl looks
 down on you like this?"""
"<可憐>
『それじゃあ、このまま踏んであげるね？
　ほら、口の中に私の足の指入れてあげる♡
　ちゃんと丁寧に舐めるんだよ♪』","Karen
""Then, I'm going to step on your face♡ I'll stick my
 toes in your mouth, so make sure to lick them clean♪"""
"可憐は貴方の口に強引に足をねじ込む。
貴方は口の中に入ってきた彼女の足の指に這わせ、
汗が少ししみこんだタイツ越しに丁寧に舐めて、
その屈辱と興奮が入り混じったような感情に浸ってしまう。","Karen shoved her left foot in your mouth and wriggled
her toes around. The act of licking her toes through
her slightly sweaty stockings filled you with
humiliation and arousal."
"<可憐>
『くす♪そうしてると、なんだか犬みたいだね♡
　シャワーなんて浴びてないし、
　足の指なんて汚いままでしょ？』","Karen
""Ahaha♪ You're almost like a dog when you lick my foot
 like that♡ I haven't got to take a shower, so it must
 be quite sweaty with all the fighting and walking♡"""
"<可憐>
『そんなところ舐めさせられてるのに、
　おちんぽ大きくしたままなんだ？
　やっぱり\n[1]君は変態で、マゾだったんだね♪』","Karen
""But even when my feet are sweaty, you're getting hard
 from licking them♡ \n[1], it looks like
 you are a pervert and a masochist♪"""
"<可憐>
『ほら、もっとちゃんと舐めて？
　丁寧にしないと、　
　足の指で\n[1]君の口の中、かき混ぜちゃうよ♡』","Karen
""Hey, make sure to carefully lick every spot♡ If you 
 don't, I'll shove my foot deeper into your mouth♡"""
"可憐は脅すようにそう言いながら、
ぐっと少し奥に足の指をねじ込ませる。
貴方は彼女に言われるがまま、
無様に足を舐め続けるしかできない。","After saying that, Karen threateningly pushed her foot
slightly deeper, giving you no choice but to continue
licking her foot no matter how shameful it was."
"<可憐>
『ふふ♡全然ダメ♪
　もっと舌を這わせて綺麗にしてもらわないと♡
　じゃ、宣言通りかき混ぜちゃうね♪』","Karen
""Ahaha♡ That's not even close to good enough♪ You
 need to use more of your tongue to clean my toes♡
 You did a bad job, so I'll shove my foot deeper♪"""
"可憐は足の指を動かし、
まるで貴方の舌とキスさせるように濃厚に絡ませる。
足の指なんかとキスさせられているような状況に、
屈辱感を感じながらも肉棒はびくびくと震えてしまう。","Karen pushed her foot deeper into your mouth and caught
your tongue between her toes in a pseudo kiss. The act
of French kissing her toes filled you with humiliation,
but it also got your penis throbbing hard."
"<可憐>
『ほら、\n[1]君♡
　足の指で口の中ぐちゃぐちゃにされながら、
　おちんぽ触ってシコシコしていいよ♪』","<Karen>
""Hey, \n[1]♡ If you want to touch yourself
 while making out with my toes, I don't mind♪"""
"<可憐>
『こうやって女の子に見下ろされて、
　足の指をお口に無理やりねじ込まれるっていう、
　屈辱的な状況に興奮しちゃって我慢できないんだよね♡』","<Karen>
""It's turning you on so hard when I'm looking down on
 you and shoving my foot in your mouth that you can
 barely contain yourself, right?"
"貴方は口の中をかき混ぜてくる彼女の足の指に、
必死に舌を絡ませながら、
言われた通りに肉棒に手を添えてしまう。","While you continued licking and making out with Karen's
toes, your hand ended up moving to your penis when she
gave you the permission."
"<可憐>
『そのままシコシコ♡
　男の子が絶対しちゃいけないような負け犬シコシコ♡
　私の足の指舐めながら、しちゃえ♪』","<Karen>
""Yes, and now start stroking it♡ Stroke it even when
 you should never do it in this kind of situation♡
 Stroke it like a loser while licking my toes♪"""
"そして、貴方は可憐に言われるがまま、
肉棒に添えた手を握りしめ、上下に動かしてしまう。","When Karen told you what to do, you tightly gripped 
your penis and began stroking it."
"<可憐>
『くす♪情けないオナニー♡
　女の子に、君は私より下だよって足で教えられてるのに、
　おちんちん扱いて気持ちよくなっちゃう♡』","<Karen>
""Ahaha♡. That's such a miserable way to masturbate♡
 It makes you feel good even while a girl is dominating
 you with her foot♡"""
"<可憐>
『恥ずかしいのに、でも、すごく気持ちいいよね♪
　夢中でおちんぽ扱いちゃってるんだもん♡
　一度始めちゃったら、もう止めることなんてできないね？』","<Karen>
""Even when it's really shameful, it feels so good♪
 You're stroking your dick in a total trance♡
 Now that you've started, you can't stop, right?"""
"<可憐>
『このまま足を舐めながら、イかされちゃう♡
　でも、このままそれで終わりはちょっとつまらないから、
　罰、用意しよっか♪』","<Karen>
""You'll continue masturbating and licking my foot until
 you cum♡ But it would be a bit boring if we finished 
 like that... So why don't we do a punishment game?"""
"<可憐>
『もしこのままイっちゃったら、
　この足で履いていて、汗で蒸れちゃった私の靴♡
　それ嗅ぎながら、強制シコシコしてもらおうかな♡』","<Karen>
""If you cum while licking my foot... Hmm... You have
 to masturbate while sniffing my shoe♡ The really 
 smelly and sweaty shoe that my foot has been in♡"""
"可憐は貴方の口の中に足をいれてかき混ぜながら、
くすくすと楽しげに笑ってそう告げる。","Karen told you about the punishment game with a giggle
while wiggling her toes around in your mouth."
