"EV001","",""
"貴方はアルの言葉に頷き、
優香にボスは具体的にどんな技を使われたのかと尋ねた。","",""
"<優香>
『はぁ？
　なんでアンタにそんな事言わなきゃ………
　………………………………』","",""
"優香は貴方の質問に憮然とそう答えたかと思うと、
何かに気が付いたかのようにまじまじと貴方の顔を見つめる。","",""
"<アル>
『え、えっと？
　………どうしたんだろ？』","",""
"そんな優香に貴方とアルは首を傾げる。
性格はともかく、
容姿は美少女と言ってもいい彼女に見つめられると、
次第に貴方の顔は赤くなっていく。","",""
"<優香>
『何照れてんの？馬鹿。
　………でも、うん、アンタ、使えるかも。』","",""
"<優香>
『アンタってさ、
　これまで倒したプレイヤーをあんまり犯してないんでしょ？
　そういう話を町できいたし。』","",""
"そう告げる優香に、
少し困惑しつつも貴方は頷く。
確かに、これまであまり女の子を犯したことはなかった。","",""
"<優香>
『あは♡やっぱりそうなんだ？
　……ねぇ、アンタさ、
　このままずっと雑魚達の家畜でいいわけ？』","",""
"嫌だ","",""
"家畜でいい","",""
"<優香>
『ま、そうよね♡
　なんとか抜け出したいって思うのが普通だよね♡
　うん、ならさ、………私がアンタのこと解放してあげる♡』","",""
"<アル>
『……え？えぇぇ！？　
　な、なんで！？
　この子は絶対協力してくれないと思ってたのに！』","",""
"優香の言葉に貴方とアルは驚く。
これまでの彼女の行いからは、
とても考えられないような提案だった。","",""
"<優香>
『タダでってわけじゃないけど♡
　解放してあげてもいいけど、条件があるのよね～♡』","",""
"<アル>
『じょ、条件……？
　なんだか凄い嫌な予感がするんだけど……』","",""
"優香のその言葉にアルと貴方は身構える。
彼女のことだ、絶対にまともな条件ではないだろう。","",""
"<優香>
『そう身構えないでよ♡
　別にとってくおうってわけじゃないんだし。
　私からの条件は2つ♡』","",""
"<優香>
『まず1つ目。
　私はアンタの後ろを少し離れてついていくから、
　私の前で必ずあのボスをぶっ飛ばすこと。』","",""
"<優香>
『次に２つ目。
　ボスをぶっ飛ばしたら、その後私と勝負すること！
　どう？この条件飲める？』","",""
"<アル>
『あ、あれ？意外とまとも……？
　でも1つ目はなんとなく理解できるけど、
　2つ目の条件ってどういうことなんだろ？』","",""
"貴方とアルは優香の条件に首を傾げる。
ボスに復讐したいという気持ちはなんとなくわかるが、
その後の戦いの意味が分からなかった。","",""
"<優香>
『にっぶいなー♡
　いい？アンタがボスを倒して、
　私がアンタを倒したら…………』","",""
"<優香>
『私はボスよりも強いってことでしょ？
　チートなんて使われなかったら、
　私の方が勝ってたってことの証明になるわけ♡』","",""
"<アル>
『……ま、回りくどい！
　これって………自分じゃもう、
　ボスには逆らえないってことなのかな？』","",""
"アルがそう彼女の理論に突っ込みを入れる。
確かに、こんな回りくどい復讐方法を選ぶということは、
自分ではボスに勝てないと頭では分かっているのだろう。
……そんなボスに、自分は勝てるのだろうか……？","",""
"<優香>
『ふん、私が負ける敵にアンタが勝てるとは思わないけど。
　それは普通だったらの話。
　さっきから言ってるでしょ？チートだって。』","",""
"<優香>
『……あの女、
　レベル反転の魔法なんてインチキを使うのよ。
　ほんと、思い出しただけでむかむかする……』","",""
"……レベル反転？
貴方は彼女の言葉に疑問符を浮かべる。","",""
"<優香>
『そ、どういう理屈か知らないけど、
　その魔法を使われると、
　レベルドレインを繰り返してきた分だけ弱体化するのよ。』","",""
"<優香>
『ま、人から手に入れた分だけ……みたいだけど。
　モンスターを倒して上がったレベルは関係ないみたいね。』","",""
"彼女の言葉に貴方は納得する。
……なるほど、それは、優香がボスに勝てないわけだ。
彼女の強さの根幹は、
他のプレイヤーから搾り取ったレベルなのだから。","",""
"<アル>
『そっか、モンスターの経験値は無色の魂だけど……
　人から手に入れたものはまた別だから、
　そこを弄ってるんだね。』","",""
"<アル>
『……あれ？なんでだろ……
　初めて聞く話のはずなのに、
　なんかすんなり理解できる……』","",""
"アルは自分で漏らした言葉に首を傾げる。
まぁ、アルは1層でもなぜか魂に関することに詳しかった。
今更な疑問のように思える。","",""
"<アル>
『んーー………？
　そう、だよね。気にしても仕方ないかなー……』","",""
"<アル>
『…………でも、
　なんで\n[1]なら勝てるって思われたのか、　
　分かったね！その魔法が原因なんだ！』","",""
"<アル>
『\n[1]ならその魔法の影響を受けずに、
　いつも通りに戦えるってことだよね♪』","",""
"アルは改めて納得したようにうなずく。
確かに、自分にはあまり影響がなさそうだ。","",""
"<優香>
『ま、そういうわけで。
　チートを使うあの女を、
　アンタにボッコボコにして欲しいわけ♡』","",""
"<優香>
『アンタにかけられた契約の魔法は、
　私でも解除できる。
　どう？悪い話じゃないと思うけど？』","",""
"優香はにやりと笑みを浮かべながら、
そう話を締めくくって貴方の反応をうかがっている。","",""
"<アル>
『\n[1]！私も悪い話じゃないと思うなー♪
　最後にこの子と戦わなきゃなのがちょっと気になるけど……
　今は家畜から抜け出すことが最優先だもん！』","",""
"アルは優香の提案に乗り気なようだ。
どうしようか………","",""
"優香の提案に乗る","",""
"優香の提案に乗らない","",""
"<優香>
『はい、交渉成立ってね♡
　じゃ、さっさとアンタの部屋にいこっか。
　契約魔術、解除してあげる。』","",""
"<アル>
『え？ここで解除してくれないの？
　ここならボスに近いし…………』","",""
"優香の言葉にアルがそう言葉を漏らす。
確かに自分の部屋からここまでには少し距離がある。
ここでは何かまずい理由があるのだろうか。","",""
"<優香>
『解除するときに魔力が散らばるから、
　ここなんかでやったらすぐ大量に押し寄せてくるけど？』","",""
"<優香>
『全員蹴散らすのは、
　アンタじゃ流石に骨が折れるでしょ。
　だからメイドが近くにいないアンタの部屋でやるわけ。』","",""
"<優香>
『ほら、分かったらさっさと行ってよ♡
　私もすぐ行くからさ。』","",""
"そう告げる優香に貴方は頷く。
この性格の悪い少女と協力することに、
貴方はどこか不思議な感覚を覚えた。","",""
"<アル>
『部屋に戻ったら、
　いよいよ脱走だね……！
　それじゃ、準備ができたら急いで戻ろっか♪』","",""
"<アル>
『え、ええ～！？
　な、なんで？この子が信用できないとか？』","",""
"貴方の提案にアルは驚いた反応を示した。","",""
"<優香>
『ふ～ん？
　私の提案に乗る以外、
　アンタが家畜から抜け出せる方法はないと思うけど？』","",""
"<優香>
『ここの奴ら、
　みんなメイド服なんか着ちゃうくらい、
　あのボスのこと慕ってるみたいだし？』","",""
"貴方の返事に、
優香はつまらなさそうにそう告げる。
確かに、皆ボスを慕っているように思えた。","",""
"<優香>
『ほんと、馬鹿よね。
　コロシアムでPvPをしないと先に進めないようにしておいて、
　ここでレベルを反転させて弱体化させる。』","",""
"<優香>
『そんなそこ意地の悪い卑怯者を、
　どうしてそこまで慕えるんだか………
　私にはさっぱり理解できないわ。』","",""
"<アル>
『う、確かに………
　普通ならそこでほぼ必ず、
　レベルドレインしちゃってるんだもんね……』","",""
"<アル>
『かなり慎重なボス……ってことなのかな？
　そういう方法をとってまで、
　先に進ませたくない、とか…………？』","",""
"アルが悩むようにそう言葉を漏らす。
街をつくったのがボスだというのなら、
おそらくそれが狙いの一つでもあったのだろう。","",""
"<優香>
『ま、他に当てがあるなら好きにすれば？
　どーせまた、私のとこに戻ってくると思うけど♡』","",""
"<優香>
『あっそ、じゃ、いいや♡
　アンタにはそれもお似合いなんじゃない？
　一生女に飼われながら喘いでれば？♡』","",""
"<アル>
『だ、ダメだよー！
　\n[1]、しっかりして？
　家畜のままでいいわけなんてないよ！』","",""
"<優香>
『なに？
　家畜のままでいるのが嫌になったの？♡』","",""
"嫌になった","",""
"<優香>
『はいはい、分かったってば♡
　やる気のない変態マゾが私に話しかけないでくれる？』","",""
"<アル>
『う、ねえ、\n[1]、
　なんかこの子話があるみたいだし…
　聞くだけ聞いてみようよ！』","",""
"<優香>
『なに？
　私の提案に乗る気になった？♡』","",""
"<優香>
『ならなんで話しかけてきたのよ。
　言っとくけど、
　役立たずの相手してあげるほど私優しくないから♡』","",""
"<アル>
『\n[1]、他に方法もなさそうだし……
　この子と協力してみよ……？』","",""
"<優香>
『アンタ、
　レベルとかは大丈夫なんでしょうね？
　メイドなんかに負けるのは話にならないから。』","",""
"<優香>
『回復アイテムとかさ、
　せめて少しくらいは準備して、
　勝てるようになってから部屋に戻ってよ？』","",""
"<アル>
『そうだね！
　\n[1]、レベルとかは大丈夫？
　準備は整えとこうね！』","",""
"<アル>
『う、う～ん……
　ボスにレベル反転の魔法を使われて、
　大丈夫なのかな……』","",""
"どう見ても魔物に変えられている少女を見て、
貴方は驚きを感じた。
彼女はこれまで戦った相手の中でも、
突出した実力を持っていたはずだ。","",""
"彼女のその発言に、
貴方はお互い様だとそう反論した。","",""
"貴方はそう顔をしかめる優香に、
ボスは具体的にどんな技を使われたのかと尋ねた。","",""
"<優香>
『……アンタ、無関係の男を助けようとするくらいの……
　馬鹿みたいな甘ちゃんだったっけ？』","",""
"<優香>
『そんなアンタならさ、これまで、
　あんまり倒した相手のこと犯してないんじゃない？』","",""
"優香はふと疑問に思ったのか、貴方にそう質問した。
……そう言われても、
自分はそれなりに相手を犯してきた気がする…","",""
"貴方はそう思ったが、
なんとなくボスの情報が聞けるかもしれないと思い、
嘘をつくことにした。
優香に、その通りだと返事をする。","",""
"<アル>
『………………………………』","",""
"優香の言葉に貴方とは驚く。
これまでの彼女の行いからは、
とても考えられないような提案だった。","",""
"優香のその言葉に貴方は身構える。
彼女のことだ、絶対にまともな条件ではないだろう。","",""
"貴方は優香の条件に首を傾げる。
ボスに復讐したいという気持ちはなんとなくわかるが、
その後の戦いの意味が分からなかった。","",""
"彼女の説明はかなり回りくどい復讐の方法だった。
こんな回りくどい復讐方法を選ぶということは、
自分ではボスに勝てないと頭では分かっているのだろう。
……そんなボスに、自分は勝てるのだろうか……？","",""
"………だが、それなら自分も危ないのではないだろうか。
彼女には嘘をついたが、
貴方もこれまで他のプレイヤーから、
レベルドレインを繰り返してきた。","",""
"思案にふける貴方に気が付かなかったのか、
優香はにやりと笑みを浮かべながら、
そう話を締めくくって貴方の反応をうかがっている。","",""
"<アル>
『\n[1]………
　この子の話が本当なら、
　きっと\n[1]も勝てないよ………？』","",""
"<アル>
『やめておいたほうがいいんじゃないかな…………』","",""
"アルは遠慮がちにそう述べる。
……確かに、厳しいかもしれない。
どうするべきだろうか………","",""
"優香の言葉に貴方は疑問を浮かべる。
ここでは何かまずい理由があるのだろうか。","",""
"<アル>
『そう、だよね……
　多分、もう\n[1]はボスには勝てない……
　ここで、大人しくしてよっか………』","",""
"貴方の返答にアルはそう言葉を漏らす。
ボスがそのような魔法を使うのであれば、
確かに勝ち目は薄いだろう塗装判断した。","",""
"<アル>
『\n[1]…………』","",""
"<優香>
『はぁ…あっさりメイドなんかに負けないでよ。
　おかげで説教なんてされたんだけど？』","",""
"優香は恨めしそうに貴方を睨む。
そんな彼女の視線から貴方は目をそらした。","",""
"<優香>
『ま、私のとこに来たってことは、
　まだ諦めてないんでしょ？
　上等、また協力してあげる。』","",""
"<優香>
『今度こそ負けないように準備出来たら、
　私に声かけなさいよね。』","",""
"<アル>
『う、ぅ～……面目ないね…
　次こそ勝てるようにしっかり準備しよ！』","",""
"<優香>
『なに？
　もう準備出来た？』","",""
"準備出来た","",""
"準備出来てない","",""
"<優香>
『じゃ、さっさとアンタの部屋にいこっか。
　また契約魔術、解除してあげる♡』","",""
"そう告げる優香に貴方は頷く。
今度こそこの協力を無駄にしないように気を付けよう。","",""
"<アル>
『頑張ろうね、\n[1]！
　次こそボスを倒しちゃおう♪』","",""
"<優香>
『おっそい、
　準備くらいさっさと済ませてよね♡』","",""
"<アル>
『念入りな準備は大事だよね！
　今度こそ負けないように、だもん！』","",""
"<優香>
『アンタ、
　レベルとかは大丈夫なんでしょうね？
　またメイドなんかに負けるのは話にならないから。』","",""
"<優香>
『ん……？アンタは……
　ふん、家畜に堕とされたんだ？てことは、
　ここのメイドの誰かに負けたってわけね。いい気味♡』","",""
"<優香>
『はぁ？
　なんでアンタにそんな事言わなきゃいけないのよ。
　なに？家畜にされてるくせにまだ諦めてないの？』","",""
"<優香>
『でも残念♡
　ここのやつはみんなボスを慕ってるみたいだし、
　いくら頑張っても家畜からは抜け出せませーん♡』","",""
"<優香>
『……は？私？
　ばっかじゃないの、
　私がアンタに協力なんてしてあげるわけないじゃん♡』","",""
"<優香>
『メイドなんかに一生家畜として飼われて、
　あへあへ言ってろ♡ばーか♡』","",""
"<アル>
『うぅ……
　前に犯したこと、根に持ってるのかな…
　協力してくれそうにないね…………』","",""
"優香は貴方に協力してくれそうにない………","",""
"……………………………","",""
"どうしようかと悩んだその瞬間、
貴方の視界は黒く染まった。
そして、どこからか声が聞こえる。","",""
"『ふー…………
　あの子に勝つなんて……しかも犯してるなんて……
　ちょっと、予想外だったかも…………』","",""
"『\n[1]、だいぶ無茶した？
　あの子に勝つって相当凄いことだと思うけど……
　でもこのままじゃ先に進めないよね………』","",""
"『…しょーがない、私が力を貸してあげる♪
　ふふーん♪\n[1]は本当に私がいないとだめだねー♪』","",""
"『えーと、ここをこうして……っと！
　よし、おっけー！これで\n[1]がこの子を犯したこと、
　なかったことにできたよ！』","",""
"『まぁ、
　その分レベルも下がってると思うけど…
　\n[1]なら大丈夫だよね？頑張って♪』","",""
"<優香>
『私にボコられる準備はもうできた？』","",""
"準備は良い","",""
"もう少し待って","",""
"<優香>
『ふふ♡上等♡アンタを倒して、
　チートさえなければ私が先に進めてたこと…
　あのいけ好かない女に証明してやる♡』","",""
"<優香>
『言っとくけど、手加減とかしてあげないから♡
　それじゃ、覚悟しなさい♡
　ボッコボコにして私の前に膝まずかせてあげる♡』","",""
"<アル>
『せ、せっかくボスに勝ったんだもん！
　私たちは貴女を倒して先に進むよ！
　頑張ろうね、\n[1]！！』","",""
"<優香>
『ぐ、こんな……
　嘘でしょ、私が…………』","",""
"貴方の剣を受けて、
優香はどさりと地面に倒れこんだ。","",""
"<アル>
『…………あれ？』","",""
"弱くなった？","",""
"<優香>
『けほっ！うっさい！！
　……あの女にレベルを吸い取られたのよ、
　魂に悪影響がなんたら、とか言って。』","",""
"<優香>
『ほんと、ムカつく……
　魂って何よ、ここはゲームの世界なのに……』","",""
"貴方の率直な疑問に、
優香はそう吐き捨てるように言った。","",""
"<アル>
『この子……
　まだ、ここはゲームの世界って思ってるのかな…』","",""
"ここはゲームじゃない","",""
"ここはゲームだ","",""
"<優香>
『……何よ、急に……
　そんなのあり得ない、ここは、絶対ゲームの世界……』","",""
"そう貴方の言葉に言い返す優香に、
貴方はもう一度ここはゲームなんかじゃないと告げた。","",""
"<優香>
『…………！！うっさいわね！
　ここはゲームの世界だって言ってるでしょ！
　そうじゃなかったら、私は……私は……！！』","",""
"貴方の言葉に優香は少し顔を青ざめさせながら、
そう語気を強くして語る。","",""
"<アル>
『……ほんとはこの子も分かってる、のかな…
　でも、それを認めちゃったら…………』","",""
"アルがポツリと言葉を漏らす。
ここはゲームの世界ではないと認めるということは、
優香にとって……………","",""
"<優香>
『……ねぇ、まだ言う？
　まだ、私が人殺しだっていうの！？』","",""
"優香だけが悪いわけじゃない","",""
"そうだ、お前は人殺しだ","",""
"<優香>
『…………は？
　な、なによそれ……意味わかんない…………』","",""
"貴方の返事が思わぬ者だったのか、
優香は呆気にとられたようにそうつぶやく。
そんな彼女に、元凶はこの「ゲーム」を作った、
「神様」というやつだと、そう告げた。","",""
"<アル>
『……そう、だね。
　この子は無実なんかじゃない……
　でも、この子にそんなことをさせたのは…………』","",""
"<アル>
『ここを作り上げて、
　ここが「ゲーム」だなんて言った「神様」。
　……うん、一番悪いのは、「神様」だよ！』","",""
"貴方の言葉にアルは納得する。
そういうアルに貴方は頷き、
だから優香の分も神様に一発ぶちかましてやる、
とそう言葉を続けた。","",""
"<優香>
『…ばっかじゃないの。
　よしんば神様、なんてのがこの先にいたとして…
　自分が何とかできるかもって思ってるわけ？』","",""
"そう尋ねる優香に貴方は分からないと返答する。
でも、優香だけが悪いわけじゃない。
神様にも落とし前をつけさせるから……
優香にも、反省してほしいと。","",""
"<優香>
『………ほんと、ばっかじゃないの……
　私に、免罪符になる言葉を言うなんてさ……』","",""
"<優香>
『……分かった、わよ。
　………自分がしたこと、反省する。
　……どう償えばいいか、なんてわからないけど。』","",""
"優香はバツが悪そうに顔を歪めた後、
そうポツリと言葉を漏らした。","",""
"<アル>
『うん、ちゃんと反省することは大事だよね！
　……じゃあ\n[1]、この先にいるかもしれない、
　「神様」目指して頑張ろー！』","",""
"そう気合を入れるアルに貴方は頷いた。","",""
"<優香>
『ぐ、ちがっ……
　私は、私はそんなつもりじゃ……！
　うっ………うぐぅぅぅ！！』","",""
"優香は貴方の断言に顔を真っ青にし、
強く否定しようとしたが途中でうずくまり、嘔吐する。","",""
"<優香>
『げほっ、げほっ……
　違う……違うの……
　私はそんなつもりじゃ、知らなくて……うぐぅぅぅ！』","",""
"優香は否定の言葉を続けようとして、また嘔吐した。
部屋に少し酸っぱい匂いが充満する。","",""
"<アル>
『押しつぶされちゃいそう……だよね……
　\n[1]、ここまで言う必要はあったのかな……？』","",""
"そう瞳を揺らすアルに、
被害者のことを思えばこれでも生ぬるいとそう返事をする。","",""
"<アル>
『…そう、だよね。
　この子がしたことは、それだけ重いことなんだもん…
　これはしかたないことだよね…………』","",""
"<優香>
『そう……そうに決まってるわよね。
　じゃないと、じゃないと私は………
　違う、ここはゲームなんだから大丈夫…………』","",""
"<優香>
『…はぁ、ふぅ…ん、……落ち着いた。
　これでもアンタに勝てるって、
　思ってたんだけどなぁ…………』","",""
"<優香>
『あ～あ、協力し損じゃん……
　ムカつく…………』","",""
"優香は不服そうな顔でそうつぶやいた。","",""
"<アル>
『……これで、よかったんだよね？
　真実は、この子にとって重すぎるんだもん…………』","",""
"<優香>
『……私、気が長い方じゃないんだけど。
　さっさと準備してよね。
　じゃないとそのうち襲い掛かっちゃうから♡』","",""
"<アル>
『う、確かに気は短そう………
　襲い掛かられないうちに頑張って準備しよっか！』","",""
"<優香>
『おめでとー♡
　しっかり役目どおりボスを倒してたわね。
　中々やるじゃん♡』","",""
"<優香>
『じゃ、約束通り……
　私と戦ってもらおっか♡
　準備は良いでしょうね？』","",""
"<優香>
『分かった、待ってあげる。
　全力出せないアンタを倒しても意味ないし♡
　回復するなり準備するなり自由にしなさい♡』","",""
"<アル>
『この子は間違いなく強敵だもんね！
　出来る限りの準備をして挑も♪』","",""
"<優香>
『……ごめんなさい……
　って、誰に言えばいいのよ……
　………祈る、とか？でも、神はだめだし………』","",""
"優香はぶつぶつと独り言を言っている。","",""
"<アル>
『ふふ、しっかり反省してるみたいだね！』","",""
"<優香>
『……げほっ、げほっ………
　私は………私は…………』","",""
"優香は苦悶に顔を歪めながらぶつぶつと独り言を言っている。","",""
"<アル>
『……………………』","",""
"<優香>
『……何よ、私はこれからどうするのか？
　……さぁ？まぁ、しばらくここで適当に暮らすつもり。
　いつか、抜け出してやるけどね。』","",""
"<アル>
『まだ攻略を諦めてないってことかな？
　私たちが言うのもアレなんだけど…
　この階層の人、結構苦労しそうだね……』","",""
"EV009","",""
"自分の部屋まで行きますか？","",""
"はい","","Yes"
"いいえ","","No"
"EV010","",""
"扉は固く施錠されている……","",""
"EV011","",""
"EV012","",""
"EV013","",""
"優香のベッドだ……
なんだか甘い香りがする気がする……","",""
"EV014","",""
"EV015","",""
"EV016","",""
"EV017","",""
"EV018","",""
"EV019","",""
"EV020","",""
"EV021","",""
"『こちらはバー兼ミズキ商店です。
　……ふむ、そう言われても何も分からない、と……
　でしたら、1階の商店長に話を聞いてみてください。』","",""
"『彼女が詳しく話をしてくれると思いますよ。』","",""
"<アル>
『ミズキ商店？
　何か売ってくれたりするのかな？
　ちょっと気になるし、1階に戻ってみよ！』","",""
"『いらっしゃいませ。
　お酒がご入用ですか？経験値がご入用ですか？』","",""
"『またのお越しをお待ちしておりますね。
　ぜひ有効いお使いください。』","",""
"EV022","",""
"EV023","",""
"なるべく早く準備をしないと。
ショップでの準備ならこの階層でやろう。","",""
"EV024","",""
"EV025","",""
"EV026","",""
"<メイド長>
『この階に面白いものはありませんよ。
　休憩をお求めなら、
　下の階でどうぞくつろいでください。】","",""
"<アル>
『如何にも偉いです、って人だね！
　ここから先がボスの部屋なのかな？』","",""
"メイド長は気絶している。","",""
"EV027","",""
"<メイド長>
『…ここまでやってきましたか。
　最近の侵入者はどなたもお強くて、
　なかなか手がかかりますね。』","",""
"貴方が部屋の前にやってくると、
ほうっとため息をつきながら女性がゆっくりと近づいてくる。","",""
"<アル>
『こ、この人がボスなのかな？
　なんか、凄いオーラみたいなのを感じるよ！』","",""
"近づいてくる彼女にアルがそう身構える。
貴方も同時に剣を抜き、彼女へと向けて警戒した。","",""
"<メイド長>
『これより先はご主人様の部屋…
　プレイヤーを…特に、
　男性の方を進ませるわけにはいきません。』","",""
"<メイド長>
『ご主人様に敗れ、
　無為に命を落とすことになるのですから。
　……どうでしょう、ここで降伏して頂けませんか？』","",""
"<アル>
『降伏なんてしたら、
　家畜にされちゃうんだよね？
　そんなの認めるわけないよ！』","",""
"彼女の提案を拒否するアルに貴方は同意し、
家畜にはなりたくないとそう返答した。","",""
"<メイド長>
『そうですか……
　では致し方ありませんね。
　実力行使とさせていただきましょう。』","",""
"<メイド長>
『貴方には今ここで、
　女に屈する快楽を覚えていただきます。
　ご覚悟くださいね。』","",""
"<メイド長>
『ぐ、うぅ…………
　こん、な…………』","",""
"貴方の剣を受けて、
メイド長はその場に倒れこんだ。","",""
"<アル>
『やったね、\n[1]！
　\n[1]の勝ちだよー♪』","",""
"そう貴方の勝利を祝うアルに、
貴方は軽く手を振ってこたえた。","",""
"<メイド長>
『ぐ……お待ち、ください。
　ご主人様に挑んでは、いけません。
　貴方では絶対に、勝てませんよ…………』","",""
"メイド長は息も絶え絶えに、そう言葉を紡ぐ。
彼女が脅しを言っているようには見えなかった。
そんな彼女に貴方は目を向ける。","",""
"<メイド長>
『………っ……話を、聞いていただけますか？』","",""
"話を聞く","",""
"話を聞かない","",""
"<メイド長>
『ありがとう、ございます…
　ご主人様はレベル反転の魔法を、
　使うことができるのです…………』","",""
"<メイド長>
『この魔法は、
　レベルドレインで得たレベルを反転させ、
　対象の動きを封じる魔法…………』","",""
"<メイド長>
『ここまで来たプレイヤーなら、
　間違いなく数々のレベルドレインをしているはずです……
　指一本動かせなくなることすら、あるのですよ………』","",""
"メイド長は必死に貴方にそう言葉を告げる。
その真剣な声色から、彼女の言うことは事実だろう。","",""
"<メイド長>
『ご主人様、は、
　無為に命を奪うことを好みません…
　どうか、ここで先に進むことを諦めてください……』","",""
"メイド長は貴方に向かってそう言葉を締めくくった。","",""
"<アル>
『…なるほど、
　だから、みんなご主人様には勝てなかったんだね……』","",""
"<アル>
『……でも、
　それじゃ\n[1]が勝てない理由にはならないよね！
　だってレベルドレインなんてしたことないんだもん！』","",""
"にこりとアルは笑みを浮かべ貴方を見つめる。
確かに、これまで勝利した際にも女の子を犯したことはない。
それはアルのおかげでもあるし、
確かに貴方自身の選択の結果であった。","",""
"<メイド長>
『…それなら大丈夫？
　レベルドレインをしたことはない………？
　う、うそ……ここまで、来ているのに……？』","",""
"貴方がメイド長に、
自分はレベルドレインをしたことがないと告げると、
彼女は茫然としたようにつぶやく。","",""
"<アル>
『ふふーん♪普通の人なら、
　淫気に犯されてそんなことありえないだろうけど……』","",""
